,title,artist,lyrics,source
0,Clarity,Zedd,"High dive into frozen waves where the past comes back to life
Fight fear for the selfish pain, it was worth it every time
Hold still right before we crash 'cause we both know how this ends
A clock ticks 'til it breaks your glass and I drown in you again

'Cause you are the piece of me I wish I didn't need
Chasing relentlessly, still fight and I don't know why
If our love is tragedy, why are you my remedy?
If our love's insanity, why are you my clarity?

If our love is tragedy, why are you my remedy?
If our love's insanity, why are you my clarity?

Walk on through a red parade and refuse to make amends
It cuts deep through our ground and makes us forget all common sense
Don't speak as I try to leave 'cause we both know what we'll choose
If you pull, then I'll push too deep and I'll fall right back to you

'Cause you are the piece of me I wish I didn't need
Chasing relentlessly, still fight and I don't know why
If our love is tragedy, why are you my remedy?
If our love's insanity, why are you my clarity?

Why are you my clarity?
Why are you my remedy?
Why are you my clarity?
Why are you my remedy?

If our love is tragedy, why are you my remedy?
If our love's insanity, why are you my clarity?",LyricFind
1,Clarity,Zedd,"High dive into frozen waves where the past comes back to life
Fight fear for the selfish pain, it was worth it every time
Hold still right before we crash 'cause we both know how this ends
A clock ticks 'til it breaks your glass and I drown in you again

'Cause you are the piece of me I wish I didn't need
Chasing relentlessly, still fight and I don't know why
If our love is tragedy, why are you my remedy?
If our love's insanity, why are you my clarity?

If our love is tragedy, why are you my remedy?
If our love's insanity, why are you my clarity?

Walk on through a red parade and refuse to make amends
It cuts deep through our ground and makes us forget all common sense
Don't speak as I try to leave 'cause we both know what we'll choose
If you pull, then I'll push too deep and I'll fall right back to you

'Cause you are the piece of me I wish I didn't need
Chasing relentlessly, still fight and I don't know why
If our love is tragedy, why are you my remedy?
If our love's insanity, why are you my clarity?

Why are you my clarity?
Why are you my remedy?
Why are you my clarity?
Why are you my remedy?

If our love is tragedy, why are you my remedy?
If our love's insanity, why are you my clarity?",LyricFind
2,Latch,Disclosure,"You lift my heart up
When the rest of me is down
You, you enchant me, even when you're not around
If there are boundaries, I will try to knock them down
I'm latching on babe
Now I know what I have found

I feel we're close enough
I wanna lock in your love
I think we're close enough
Could I lock in your love, baby?

Now I got you in my space
I won't let go of you
Got you shackled in my embrace
I'm latching on to you

Now I got you in my space
I won't let go of you
Got you shackled in my embrace
I'm latching on to you

I'm so encaptured, got me wrapped up in your touch
Feel so enamored, hold me tight within your clutch
How do you do it, you got me losing every breath
What did you give me to make my heart beat out my chest?

I feel we're close enough
I wanna lock in your love
I think we're close enough
Could I lock in your love, baby?
I feel we're close enough
I wanna lock in your love
I think we're close enough
Could I lock in your love, baby?

Now I got you in my space
I won't let go of you
Got you shackled in my embrace
I'm latching on to you

Now I got you in my space
I won't let go of you
Got you shackled in my embrace
I'm latching on to you

I'm latching on to you (I'm latching on to you)
I won't let go of you (I won't let go)
I'm latching on to you (I don't wanna let go)
I won't let go of you (I won't let go, I won't let go)",LyricFind
3,Wake Me Up,Avicii,"Feeling my way through the darkness
Guided by a beating heart
I can't tell where the journey will end
But I know where to start
They tell me I'm too young to understand
They say I'm caught up in a dream
Well life will pass me by if I don't open up my eyes
Well that's fine by me

So wake me up when it's all over
When I'm wiser and I'm older
All this time I was finding myself, and I
Didn't know I was lost

So wake me up when it's all over
When I'm wiser and I'm older
All this time I was finding myself, and I
Didn't know I was lost

I tried carrying the weight of the world
But I only have two hands
Hope I get the chance to travel the world
But I don't have any plans
Wish that I could stay forever this young
Not afraid to close my eyes
Life's a game made for everyone
And love is a prize

So wake me up when it's all over
When I'm wiser and I'm older
All this time I was finding myself, and I
Didn't know I was lost

So wake me up when it's all over
When I'm wiser and I'm older
All this time I was finding myself, and I
I didn't know I was lost

I didn't know I was lost
I didn't know I was lost
I didn't know I was lost
I didn't know",LyricFind
4,Firework,Katy Perry,"Do you ever feel like a plastic bag
Drifting through the wind, wanting to start again?
Do you ever feel, feel so paper thin
Like a house of cards, one blow from cavin' in?
Do you ever feel already buried deep?
Six feet under screams, but no one seems to hear a thing
Do you know that there's still a chance for you?
'Cause there's a spark in you

You just gotta ignite the light
And let it shine
Just own the night
Like the Fourth of July

'Cause baby, you're a firework
Come on, show 'em what you're worth
Make 'em go, ""Oh, oh, oh""
As you shoot across the sky
Baby, you're a firework
Come on, let your colors burst
Make 'em go, ""Oh, oh, oh""
You're gonna leave 'em all in awe, awe, awe

You don't have to feel like a waste of space
You're original, cannot be replaced
If you only knew what the future holds
After a hurricane comes a rainbow
Maybe a reason why all the doors are closed
So you could open one that leads you to the perfect road
Like a lightning bolt, your heart will glow
And when it's time, you'll know

You just gotta ignite the light
And let it shine
Just own the night
Like the Fourth of July

'Cause baby, you're a firework
Come on, show 'em what you're worth
Make 'em go, ""Oh, oh, oh""
As you shoot across the sky
Baby, you're a firework
Come on, let your colors burst
Make 'em go, ""Oh, oh, oh""
You're gonna leave 'em all in awe, awe, awe

Boom, boom, boom
Even brighter than the moon, moon, moon
It's always been inside of you, you, you
And now it's time to let it through

'Cause baby, you're a firework
Come on, show 'em what you're worth
Make 'em go, ""Oh, oh, oh""
As you shoot across the sky
Baby, you're a firework
Come on, let your colors burst
Make 'em go, ""Oh, oh, oh""
You're gonna leave 'em all in awe, awe, awe

Boom, boom, boom
Even brighter than the moon, moon, moon
Boom, boom, boom
Even brighter than the moon, moon, moon",LyricFind
5,Firework,Katy Perry,"Do you ever feel like a plastic bag
Drifting through the wind, wanting to start again?
Do you ever feel, feel so paper thin
Like a house of cards, one blow from cavin' in?
Do you ever feel already buried deep?
Six feet under screams, but no one seems to hear a thing
Do you know that there's still a chance for you?
'Cause there's a spark in you

You just gotta ignite the light
And let it shine
Just own the night
Like the Fourth of July

'Cause baby, you're a firework
Come on, show 'em what you're worth
Make 'em go, ""Oh, oh, oh""
As you shoot across the sky
Baby, you're a firework
Come on, let your colors burst
Make 'em go, ""Oh, oh, oh""
You're gonna leave 'em all in awe, awe, awe

You don't have to feel like a waste of space
You're original, cannot be replaced
If you only knew what the future holds
After a hurricane comes a rainbow
Maybe a reason why all the doors are closed
So you could open one that leads you to the perfect road
Like a lightning bolt, your heart will glow
And when it's time, you'll know

You just gotta ignite the light
And let it shine
Just own the night
Like the Fourth of July

'Cause baby, you're a firework
Come on, show 'em what you're worth
Make 'em go, ""Oh, oh, oh""
As you shoot across the sky
Baby, you're a firework
Come on, let your colors burst
Make 'em go, ""Oh, oh, oh""
You're gonna leave 'em all in awe, awe, awe

Boom, boom, boom
Even brighter than the moon, moon, moon
It's always been inside of you, you, you
And now it's time to let it through

'Cause baby, you're a firework
Come on, show 'em what you're worth
Make 'em go, ""Oh, oh, oh""
As you shoot across the sky
Baby, you're a firework
Come on, let your colors burst
Make 'em go, ""Oh, oh, oh""
You're gonna leave 'em all in awe, awe, awe

Boom, boom, boom
Even brighter than the moon, moon, moon
Boom, boom, boom
Even brighter than the moon, moon, moon",LyricFind
6,Firework,Katy Perry,"Do you ever feel like a plastic bag
Drifting through the wind, wanting to start again?
Do you ever feel, feel so paper thin
Like a house of cards, one blow from cavin' in?
Do you ever feel already buried deep?
Six feet under screams, but no one seems to hear a thing
Do you know that there's still a chance for you?
'Cause there's a spark in you

You just gotta ignite the light
And let it shine
Just own the night
Like the Fourth of July

'Cause baby, you're a firework
Come on, show 'em what you're worth
Make 'em go, ""Oh, oh, oh""
As you shoot across the sky
Baby, you're a firework
Come on, let your colors burst
Make 'em go, ""Oh, oh, oh""
You're gonna leave 'em all in awe, awe, awe

You don't have to feel like a waste of space
You're original, cannot be replaced
If you only knew what the future holds
After a hurricane comes a rainbow
Maybe a reason why all the doors are closed
So you could open one that leads you to the perfect road
Like a lightning bolt, your heart will glow
And when it's time, you'll know

You just gotta ignite the light
And let it shine
Just own the night
Like the Fourth of July

'Cause baby, you're a firework
Come on, show 'em what you're worth
Make 'em go, ""Oh, oh, oh""
As you shoot across the sky
Baby, you're a firework
Come on, let your colors burst
Make 'em go, ""Oh, oh, oh""
You're gonna leave 'em all in awe, awe, awe

Boom, boom, boom
Even brighter than the moon, moon, moon
It's always been inside of you, you, you
And now it's time to let it through

'Cause baby, you're a firework
Come on, show 'em what you're worth
Make 'em go, ""Oh, oh, oh""
As you shoot across the sky
Baby, you're a firework
Come on, let your colors burst
Make 'em go, ""Oh, oh, oh""
You're gonna leave 'em all in awe, awe, awe

Boom, boom, boom
Even brighter than the moon, moon, moon
Boom, boom, boom
Even brighter than the moon, moon, moon",LyricFind
7,Anything Could Happen,Ellie Goulding,"Stripped to the waist we fall into the river

Cover your eyes so you don't know the secret
I've been trying to hide
We held our breath to see our names are written
On the wreck of '86
That was the year I knew the panic was over

Yes, since we found out
Since we found out

That anything could happen
Anything could happen
Anything could happen
Anything could happen
Anything could happen
Anything could happen
Anything could

After the war we said we'd fight together
(Ooh ooh, ooh, ooh)
(Ooh ooh, ooh, ooh)
I guess we thought that's just what humans do
(Ooh ooh, ooh, ooh)
Letting darkness grow
As if we need its palette and we need its color
(Ooh ooh, ooh, ooh)

But now I've seen it through
And now I know the truth

That anything could happen
Anything could happen
Anything could happen
Anything could happen
Anything could happen
Anything could happen
Anything could

Baby, I'll give you everything you need
I'll give you everything you need, oh
I'll give you everything you need
But I don't think I need you

Stripped to the waist we fall into the river

Cover your eyes so you don't know the secret
I've been trying to hide
We held our breath to see our names are written
On the wreck of '86
That was the year I knew the panic was over

Yeah, since we found out
Since we found out

That anything could happen
Anything could happen
Anything could happen
Anything could happen
Anything could happen
Anything could happen
Anything could

I know it's gonna be
I know it's gonna be
I know it's gonna be
I know it's gonna be
I know it's gonna be
I know it's gonna be
I know it's gonna be
I know it's gonna be, oh

But I don't think I need you

But I don't think I need you

But I don't think I need you

But I don't think I need you
But I don't think I need you",Musixmatch
8,The Nights,Avicii,"Once upon a younger year
When all our shadows disappeared
The animals inside came out to play
Went face to face with all our fears
Learned our lessons through the tears
Made memories we knew would never fade

One day, my father, he told me, ""Son, don't let it slip away""
He took me in his arms, I heard him say
""When you get older your wild heart will live for younger days
Think of me if ever you're afraid""

He said, ""One day, you'll leave this world behind
So live a life you will remember""
My father told me when I was just a child
""These are the nights that never die""
My father told me

""When thunderclouds start pouring down
Light a fire they can't put out
Carve your name into those shining stars""
He said, ""Go venture far beyond the shores
Don't forsake this life of yours
I'll guide you home no matter where you are""

One day, my father, he told me, ""Son, don't let it slip away""
When I was just a kid, I heard him say
""When you get older your wild heart will live for younger days
Think of me if ever you're afraid""

He said, ""One day, you'll leave this world behind
So live a life you will remember""
My father told me when I was just a child
""These are the nights that never die""
My father told me

""These are the nights that never die""
My father told me

My father told me",Musixmatch
9,The Nights,Avicii,"Once upon a younger year
When all our shadows disappeared
The animals inside came out to play
Went face to face with all our fears
Learned our lessons through the tears
Made memories we knew would never fade

One day, my father, he told me, ""Son, don't let it slip away""
He took me in his arms, I heard him say
""When you get older your wild heart will live for younger days
Think of me if ever you're afraid""

He said, ""One day, you'll leave this world behind
So live a life you will remember""
My father told me when I was just a child
""These are the nights that never die""
My father told me

""When thunderclouds start pouring down
Light a fire they can't put out
Carve your name into those shining stars""
He said, ""Go venture far beyond the shores
Don't forsake this life of yours
I'll guide you home no matter where you are""

One day, my father, he told me, ""Son, don't let it slip away""
When I was just a kid, I heard him say
""When you get older your wild heart will live for younger days
Think of me if ever you're afraid""

He said, ""One day, you'll leave this world behind
So live a life you will remember""
My father told me when I was just a child
""These are the nights that never die""
My father told me

""These are the nights that never die""
My father told me

My father told me",Musixmatch
