artists_idxs,album_idx,album_name,album_release_year,album_release_month,album_release_day
['0Vg7E1cb1N0DvWrIPwaxGZ'],5g4bFU1CghcQENV4UsIepE,David Blake,2019.0,6.0,12.0
['0Vhn5oSHq1D1BTc4uLT0Is'],13qmzqh90QRLcH1t40XudD,More Than Mario,2016.0,10.0,24.0
['0Vhn5oSHq1D1BTc4uLT0Is'],7Em48houd203JAJQhJu0Ud,Prelude,2013.0,2.0,12.0
['0VkWDV0Bfd0EkXvaKAXUTl'],4Y0V2f8zZ53O0mF9nL1ine,Greenbroke,2022.0,3.0,11.0
['0Vu4A064M7J86SoMA0nrJH'],0xtk2LdnEQsiqgJoMyIANN,High Times,2017.0,10.0,27.0
"['0VvrkPoertmEH3SJDw129Z', '7FWsBTlD40WptG48Z5zBJp']",79w8HnL1XzPSlvOuvquNsv,Close to You - Carillon Christmas 2019 (Live),2021.0,9.0,10.0
"['0VvrkPoertmEH3SJDw129Z', '7FWsBTlD40WptG48Z5zBJp']",6lkPbQ3j9SizeR0F7DikeR,The Singing Guitar,2020.0,9.0,18.0
"['0VvrkPoertmEH3SJDw129Z', '7FWsBTlD40WptG48Z5zBJp']",3kEPqOg9isZwHblYdvSFq5,Go Light Your World - Conspirare Christmas 2018 (Recorded Live at the Carillon),2020.0,3.0,20.0
"['73154QMNXe4mwoVDLgYWMo', '0VvrkPoertmEH3SJDw129Z', '7FWsBTlD40WptG48Z5zBJp']",6QYV7RiAYNz9HSBggOogPM,The Hope of Loving,2019.0,8.0,9.0
"['0VvrkPoertmEH3SJDw129Z', '7FWsBTlD40WptG48Z5zBJp']",1syHt0crrWv5Wl2zJRfa3E,Sing Joy - Conspirare Christmas 2017,2019.0,4.0,5.0
"['0VvrkPoertmEH3SJDw129Z', '7FWsBTlD40WptG48Z5zBJp']",6cr8vGiXRPEumSpEFzbsWN,Beautiful City - Conspirare Christmas 2016 (Recorded Live at The Carillon),2017.0,12.0,1.0
"['0VvrkPoertmEH3SJDw129Z', '7FWsBTlD40WptG48Z5zBJp']",3AJOc1AD06uO4uZoolcehV,Singing Heart - Conspirare Christmas 2015 (Recorded Live at The Carillon),2017.0,2.0,15.0
"['7FWsBTlD40WptG48Z5zBJp', '0VvrkPoertmEH3SJDw129Z']",0XzMP8YkpPFWOPbbVVlIec,Johnson: Considering Matthew Shepard,2016.0,9.0,9.0
