artist_name,artist_id,artist_popularity,artist_genres
When In Rome,3jOO5nZ2XPmc232rNjzqJy,54,"['new romantic', 'new wave', 'new wave pop', 'synthpop']"
When It Rains In California,6ttzO188jzpYIyj00pSsyZ,37,['rain']
when in NY,1tuOpNoNDZhAJH2nQkm6bh,23,['study beats']
Wheatic,6XxZ71Gu9zuYNqHqJ4T6fg,43,[]
WEISS,0FBRY66KVaAiddGVefikLB,58,"['deep groove house', 'deep house', 'disco house', 'edm', 'house', 'pop dance', 'tropical house', 'uk dance', 'uk house', 'vocal house']"
Wheats,68O83ss9GHwRVDaJhpCQHF,31,['uk tech house']
Sesame Street's Little Girl,7diQSEyPqS4Tyz2o3ctSf5,5,[]
Little Girls,7vVxyDJVx3w9XGn7m0zQ3P,2,"['canadian post-punk', 'popgaze']"
Little Giants,78XCKa4jbZbdHPUnql65JQ,3,[]
November Ultra,0naOCLau0NmL1kdFlbZAfr,53,[]
November,7t4rbR9mLbD0mM79s2gbQh,38,[]
Novembers Doom,7CPjagX3gF7woK0P7YNuKd,32,"['doom metal', 'funeral doom', 'gothic metal']"
skaiwater,1URVdcNYXigvk6Dj0fHYOM,61,"['hyperpop', 'nottingham hip hop']"
Skyward Expanse,25BNvODEv30pocp6eyeUah,33,[]
Squired,23Ud9TI3CpiqMUY6tBZEb6,35,[]
Darlene Love,391oLRVmoTkumiN79HkTWu,58,"['adult standards', 'lounge']"
The Darkness,5r1bdqzhgRoHC3YcCV6N5a,59,"['glam metal', 'hard rock', 'rock']"
Eclipse Darkness,2hHkHdq9YcA2xk0pjI0A8O,46,[]
Baby Sleeps,48zEowASEXWsK6lgP1xotZ,69,[]
re6ce,4ULUpM5hJYKWhWdIViYrGK,54,['hyperpop']
Modal Colours,6J7iKiucfuY6yg4dp0b67i,53,['sleep']
Shotgun Willy,7Gz6VlTVwlNtBNMYV4OI3w,63,"['meme rap', 'viral rap']"
Shotgun Shane,0t4OC45mZTJBIjcIJmu4xw,44,"['country rap', 'redneck']"
Shotgun Rider,1gmKCymY1bESfw6oF1V6gk,41,['texas country']
Machine,2de3Y8cx2Qt1Z1Uh1wb97O,22,[]
Machine,01YHmj2sySjLjP1Q2BK2sH,20,[]
Machine+,0ItWFWejxvxWv8ZFziT4gq,16,[]
when timer ends,6Qv0LaIcNZYaG8kpuTzf78,10,[]
When Tigers Used To Smoke,5mbImkLqNsdCKdLU1KNDn0,2,[]
Vincce,56R8A5Xu0PRqsPRpUj81Jp,42,['drift phonk']
V!NCE,2ncpFs0PVoFQRnVgsBn2Vz,23,[]
VNCE Williams,1impuRNIC7WZdassyJxvJ3,15,[]
Stract,5q6W2V8zwYbrEA0SSEg0IX,54,"['lo-fi chill', 'sad lo-fi']"
Struggle,0EmCmRWJM3kIDf0IBrj62j,44,['emocore']
Triegy,4JkUnoB56NQIMK4BK9NRtp,43,[]
Where Angels Fall,5p4gGNjjzlWt6Of2OTMylC,4,"['gothic metal', 'gothic symphonic metal']"
Hunting With Eagles,2OCoPTyZUnSTDXl87V1ls1,23,[]
The Eagle Rock Gospel Singers,6mSbhnOMxNViQqlh58ZOhE,31,['alternative americana']
Where Angels Fall,5p4gGNjjzlWt6Of2OTMylC,4,"['gothic metal', 'gothic symphonic metal']"
Voodoo Dawn,6O8KDTdcIU64SXBC4Wxo3M,18,[]
Voodoo Circle,6wDtiOQnBxuCtE3mO7qWmS,31,"['german hard rock', 'melodic hard rock', 'modern hard rock', 'nwocr']"
Voodoo Church,2V6J8urZMgLUtMTu7WU2MD,20,['deathrock']
Voodoo Glow Skulls,0t1X1ygK807hH0upA9lYJw,41,"['chicano punk', 'modern ska punk', 'punk', 'ska', 'ska mexicano', 'ska punk', 'skate punk']"
Voidoid,4SPn4mx3CWufJWrTeOimQd,48,[]
Voodoo & Serano,4Pl9qnKpdOFI90QWXQtP7q,38,['german techno']
Echoes,4pT84mlmySh9CkiGfJA9xV,52,[]
Big Bad Voodoo Daddy,6ROyXB8NDG0fA78S46JdTB,46,"['electro swing', 'nu jazz', 'swing', 'swing revival']"
Voodoo Glow Skulls,0t1X1ygK807hH0upA9lYJw,41,"['chicano punk', 'modern ska punk', 'punk', 'ska', 'ska mexicano', 'ska punk', 'skate punk']"
Voodoo Glow Skulls,0t1X1ygK807hH0upA9lYJw,41,"['chicano punk', 'modern ska punk', 'punk', 'ska', 'ska mexicano', 'ska punk', 'skate punk']"
Vooo,3vHTWo80WtxaxoYy36oZXF,43,[]
Big Bad Voodoo Daddy,6ROyXB8NDG0fA78S46JdTB,46,"['electro swing', 'nu jazz', 'swing', 'swing revival']"
The Organism,2ZbM7ypKR8jIF6sfyI54Kz,31,['dark disco']
Voo Done Did,1JxDj1xEBQEbg2gn0815h1,7,[]
VooDoo,4wxcHpvRe6c6hCNP178MOB,6,[]
ZOMBIES – Cast,2L7RaHwfVU6ge64IJF8GO5,65,[]
