artist_name,artist_id,artist_popularity,artist_genres
Baird,7GdGZWPHxDEu0ppvLoB4GO,52,"['baltimore indie', 'collage pop', 'indie r&b']"
Ballad of Balder,0OzZeeHHwqUKJsMEprOaCF,6,[]
Abel Balder,0jqbEIAvdjUOi5Za48pzQG,52,[]
Beautiful Sleep,4wapzvXqBROuuOhKmB0mxh,43,"['background music', 'sleep']"
Beautiful Sleep,3deOMX1OFvRJiMuUjbMuTJ,30,[]
Silence!,0zxEH9KKXqQRBWYnBXu5GR,34,[]
A Billion Robots,5Ej5WAFDBjdPEJWn1NNizV,31,['melbourne bounce international']
156/Silence,2qXHYRTtZytxMMfO9pW1V9,35,"['mathcore', 'metallic hardcore', 'pennsylvania hardcore']"
Silencee,40Lfxzl54cuMtfdQOxqu88,44,['gym hardstyle']
Silience,7yk8lN0B2B5wBdb4DJfQLI,45,"['deep tropical house', 'tropical house']"
Surf Curse,1gl0S9pS0Zw0qfa14rDD3D,72,"['dreamo', 'indie pop', 'indie surf', 'surf punk', 'vegas indie']"
Surfing,2vTrzq2s1adq6MrQ5mdQNj,36,"['hardvapour', 'vaporwave']"
surrenderdorothy,5DyJ1PzYEPstcP8m0q8bZp,64,"['emo rap', 'underground hip hop']"
Tomorrow Interview,0Ao7SHfMT9cTA66DXwmykm,5,[]
Trapped By Tomorrow,1AOqw6phmKNwoCp6gvcN1z,1,[]
A Broken Silence,5YfUUf50L38Gz0PI0Yab7f,35,"['gymcore', 'hard alternative', 'post-screamo', 'rap rock']"
Silencee,40Lfxzl54cuMtfdQOxqu88,44,['gym hardstyle']
156/Silence,2qXHYRTtZytxMMfO9pW1V9,35,"['mathcore', 'metallic hardcore', 'pennsylvania hardcore']"
Caravan Palace,37J1PlAkhRK7yrZUtqaUpQ,62,"['electro swing', 'nu jazz']"
Ryan Caraveo,1PDE2MIJ4M6uvFJDrslazf,61,"['indie pop rap', 'pop rap']"
Poppa Cannon,6mZq9w8A6isGakPJcnY4p7,44,[]
GRAEDA,5bwqwISuLkDV1i8HJL41V7,26,['chillsynth']
GRNADE,4oRFlxl17obKdnYdGbf2jF,12,[]
Grenada,6mtiA3nU8EeoWWgvAvbt6c,28,[]
CAMP,5WlBS3np27mk4KGGU0mONt,14,[]
Chill Select,5orR9ec1E60lLb1U76m3ul,66,['focus beats']
Silent Chills,0EyOVnnzk2mlj1xuGiHpua,60,['asmr']
Silent Child,59XQUEHhy5830QsAsmhe2M,61,[]
Honaiser,0PNcEYeVDBqbywI00Y3ANT,65,[]
Homayoun Shajarian,5Uj3HYkiz1cn32IPHMqhOy,47,"['classic persian pop', 'persian pop', 'persian rock', 'persian traditional']"
Ho'onu'a,7fNv44w4jZllwDLtLMxvup,28,['jawaiian']
A Covenant of Thorns,3pIR74D0HVNqYS3PuQFPds,6,[]
The Kovenant,31VNYr7yK0xBD6MfIaucLJ,30,"['black metal', 'cyber metal', 'melodic black metal', 'norwegian metal', 'sci-fi metal', 'symphonic black metal']"
Covenant,2I4cNVBBWeOr6L45PomXoJ,8,[]
Kris Kristofferson,0vYQRW5LIDeYQOccTviQNX,66,"['country rock', 'folk', 'folk rock', 'mellow gold', 'outlaw country', 'roots rock', 'singer-songwriter']"
Kris Kross,2zrZfs23sjuHDv4E6YRmNf,53,"['hip hop', 'old school atlanta hip hop', 'rap']"
Kix,45KpBChrKYWhTlU6N57ofu,45,"['album rock', 'glam metal', 'hard rock', 'sleaze rock']"
Perfeccion,4OmyjrFmkteK8ODEr9eC04,18,['new mexico music']
Performance Artist,5hFi0mVTEG5BaVmlrUHEyk,8,[]
DPerfect,3QTVgwF57fJtcE2Vy8GD7S,10,[]
((( O ))),5rBFU1rhgs1nNghopuj9k8,60,['experimental hip hop']
Sunrise Skater Kids,5iJsReQNQzuHVkLLXUpRCy,41,"['anthem emo', 'easycore', 'pop punk']"
Sunset Rollercoaster,7BqRcZsHYYQeqMAOp7e532,58,['taiwan indie']
A Days Refrain,35dglVC7R59y1EynkiaKNH,5,"['new jersey hardcore', 'skramz']"
Days to Days,5MiUBGl75EISyepC5epepD,25,[]
A Days Wait,342g3V6gQpQjgeuaw8OVMt,8,[]
Puggs,5cpP41MG3XPQR28NsJtZId,2,[]
PIGEONS and RAMEN,6sTx6Wp8vk4Eo94FldsbB0,10,[]
Pugs,3SSxcApPnCQpHC9muY2n3D,4,[]
DAE DREEM,5be2NmvHmbyJ2HUVVuDGie,40,[]
daydream Masi,7d1ybPEhoZkeQhKHIyl9U9,34,[]
dueday,2yLP0IwAa0JkNWr6OMHM0i,36,[]
A Dying Dream,2IQzfqLJNF45BpbU55XKRj,8,[]
Chaos Chaos,6D6rjLdxyE5vwhMlkuQq0E,46,['la indie']
Chaos Canine,2tZK5LSQQ3wuyWcHnI93NR,30,[]
Chaos,5wYI9Qa22IbgbVMbRhD63G,20,[]
Cold War Kids,6VDdCwrBM4qQaGxoAyxyJC,63,"['alternative rock', 'garage rock', 'indie rock', 'modern alternative rock', 'modern rock', 'piano rock', 'rock', 'stomp and holler']"
Cold Water Worship,0br91ss6BdMgZCfaX1gX7D,19,[]
Cold Weather Kids,3i9LsSfTmHA7PU8MA6UopQ,26,[]
Koffin Kats,5SlxIxRqgFVFeSfpG6SHdf,38,"['horror punk', 'psychobilly']"
Iamthecoffin.,0asKscnjP93jjYuM3Pynrs,31,"['indie garage rock', 'socal indie']"
The Coffinshakers,40MSz9KU6J8HDdfATbQzO2,39,"['deathgrass', 'gothabilly', 'horror punk', 'psychobilly', 'varmland rock']"
A Flock Of Seagulls,0uAjBatvB4ubpd4kCfjmNt,59,"['new romantic', 'new wave', 'new wave pop', 'synthpop']"
GRAVECHILL,1EnZjgGD81emhSdq6adEKt,62,['drift phonk']
GRAVEDGR,1kiZfWU37oS0pCOV7Os1Pj,48,"['bass trap', 'electronic trap']"
GRAE,0H307pF74X7H7kXOmDyYGU,39,['modern indie pop']
FREAK SHOW,4baonPQuHk7vrgPfLlxFM6,3,[]
KILJ,2pIP61k0TIAFjna6vnALMp,52,['sad rap']
KIL,6zVzveD0f6qVNAihN6S89e,37,"['dark trap', 'meme rap']"
The Kilkennys,13BdFViz8xaH8K47sWS6ge,37,"['irish folk', 'irish neo-traditional']"
Heart Of Forever,4bnAV4JErAxhv47sX4R8eL,1,[]
The Thompson Community Singers,1MWWUdLJVnU7HryE29JNZI,36,[]
Thompson Square,0Bvs8yPjrQSbmVIRqSg1Sp,52,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']"
Chris Tomlin,6pRi6EIPXz4QJEOEsBaA0m,68,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']"
Kidsnot$aints.,3vcmFdngDnToTjWO61hMTK,46,['modern indie pop']
Day Nappers,1ngR2isbEhcNEY1fNJZ0Vn,52,['white noise']
Madnap,6iMPqGUG6S7G5vFISJoHg4,42,[]
London Symphony Orchestra,5yxyJsFanEAuwSM5kOuZKc,75,"['british orchestra', 'classical performance', 'orchestra']"
Little Symphony,4SCWiQbJCMTHK737aNUqBJ,65,['ambient guitar']
BBC Symphony Orchestra,23BiSNXm5UaRFuusoWisYO,58,"['british orchestra', 'classical performance', 'orchestra', 'theme']"
A Lost People,7lhRtcs9nkhGSQs3f1uag4,20,[]
Lost People,78X4dOavqIxQwnqTWXBfJ6,5,[]
Last People,1OE1dKOlQzWxAVqKUq5Z33,2,[]
Suicide Silence,6HZr7Fs2VfV1PYHIwo8Ylc,57,"['deathcore', 'melodic metalcore', 'metalcore']"
Suicideyear,3WaNZnwUPrpOIS5ZcIyjTO,63,"['phonk', 'wave']"
Suicidal Tendencies,3WPKDlucMsXH6FC1XaclZC,56,"['alternative metal', 'california hardcore', 'crossover thrash', 'funk metal', 'hardcore punk', 'metal', 'nu metal', 'old school thrash', 'punk', 'rap rock', 'rock', 'thrash metal']"
DeadBeatVillain,3eX60TRDUfjgEIWi07J1nf,44,['dark trap']
A Million in Vermillion,5boaRZCU7efpwDcDhbOlxp,36,[]
D Billions,0qIpOhRDzOLVVxO7RAR3RZ,49,[]
Confused By The New Planet,5a7LoY2maB4EiKAVx8vLrO,3,[]
Confused By The New Age,48Rgv35FePr6Ji9vj3nEHq,3,[]
Confused By A Rise Of Machines,0Mojs1tonStmRai4NutDbA,3,[]
Murder of Crows,2YiVSAb9R7d919FinqRwhd,3,[]
A Murder in Mississippi,3iuF2R8o2xej4ZdbWdiNom,12,['ghent indie']
The Murder of Crows,7t6q5NNmotaQCuHkd8Ebs5,3,['duluth indie']
Saint Asonia,6Fwq3TDWpMhcL1KTKVQiI8,56,"['alternative metal', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']"
Saint Sinner,0DoWlk1NzQp1VWVFtZOb8Y,50,['downtempo bass']
Sanctuary Saints,5X6kRn8ybXOGECUSAIFSEy,47,[]
Tejo,3qv48wcCS83mCytB0V2Yki,19,[]
te$oro,5pdyR1CeEBeQhH7ibsKSN1,2,[]
TEXIIO,6z3pfy82RtC0zLRKE6HuDV,26,[]
Natalie Fall,6YZdKBkkOEdojatkaX7rzE,42,[]
Metal Fortress,2qNbfCQOolQ0ybnCkpEuP9,31,[]
Death Valley Girls,0EvAIYxDOmvxkCv35jfmS9,35,"['action rock', 'la indie']"
Kix,45KpBChrKYWhTlU6N57ofu,45,"['album rock', 'glam metal', 'hard rock', 'sleaze rock']"
Kris Kross,2zrZfs23sjuHDv4E6YRmNf,53,"['hip hop', 'old school atlanta hip hop', 'rap']"
Kris Kiss,3Hzok9apHnCGDDkGltQcMg,49,[]
The Strangers,4eYZgISQVkajfQ3PAJlqqw,42,[]
Strangers And,1bNsdxQbHtDRUXRP6tRodV,8,[]
The Stranglers,0RUEHcBiENFEqxgicqS2ig,60,"['art rock', 'glam rock', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'protopunk', 'pub rock', 'punk', 'rock', 'synthpop', 'zolo']"
P!nk,1KCSPY1glIKqW2TotWuXOR,85,"['dance pop', 'pop']"
Apink,2uWcrwgWmZcQc3IPBs3tfU,56,"['k-pop', 'k-pop girl group']"
PIÑA PINK,7L2I1AuvyRXd2ysLSTeKZX,46,['study beats']
Guts,7jnX54FwTCv5s5UrHEQqjz,4,[]
SHADE,7haDPJHWbvWwhYGKDa7GP0,15,['britpop revival']
Ray Dawn,3Pvp8jqCvlxkeDWI1OTUAL,16,['pittsburgh rap']
reardon.,1XwXqN49H0zFhRM1Z3ZScO,19,[]
ReeDaDon,53dH57ynyrux4epxIJC8eF,1,[]
Skyline FX,0Bk22etDRvzrog9780hCXb,39,[]
s0cliché,6VFh5MDegSpfTMvGQ4RGaO,48,"['emo rap', 'sad lo-fi', 'sad rap']"
FM Skyline,78eLUMRVVuDlDgcvYCYDCf,37,"['chillsynth', 'future funk', 'hardvapour', 'vaporwave']"
SkySky,24pnYmyDZqfVvQGqK1RZ9b,60,[]
skilatchi,0OU4ioBamqV4AYec06oJWt,49,[]
Slaydit,0vC48gyflgfcrP6f50V9R8,50,[]
A Stained Glass Romance,3iqrbM52jTmNlb5LyXhsaG,16,[]
Romance,0A18cE9pDz57f0cj7q8wxt,21,[]
A State of Romance,3iYQlthkHRdSuP2cuHw9IL,5,[]
Scarlett,06ahQOusxyLRkcUMrXts8s,56,[]
Scarlet,59APLaxReprkLuj2JBO0YD,54,[]
Scarlett Skies,4Ww2BFFQVpno8COGWONc1L,43,[]
Nori,1ZVchQJoK0CP4PR7bgr2Lo,46,['pixel']
Joey + Rory,31Esw1yHgJZBPcRa4nUyTP,47,"['country', 'country dawn', 'country road']"
RØNIN,5AueQd01cgyqBRQ82ns5cd,58,"['aesthetic rap', 'sad lo-fi', 'sad rap']"
Sub Urban,7gXb99Sf9nNmpNYeAgIQFG,70,"['modern indie pop', 'viral rap']"
suburban,4rV5QbctZumt1az6iUXxar,48,"['aesthetic rap', 'dark trap']"
Subvrbs,0NVy1xEsz4i8pX33Scv75n,53,[]
A Sunny Day In Glasgow,6ri0XKbaMvGEQ6r7fSee8g,23,"['dream pop', 'etherpop', 'modern dream pop', 'noise pop', 'nu gaze', 'philly indie', 'shoegaze']"
Sunny Day Real Estate,2lZkXWxkZsZzBocxMjN1or,48,"['alternative rock', 'emo', 'emo punk', 'midwest emo', 'post-hardcore', 'screamo']"
Sunny & The Sunliners,7vsHbcgOIbaeMqv3GvvHdO,42,"['classic soul', 'souldies']"
A Band of Orcs,2Qf4XU5Lm0dYfCLiWRFSix,3,['grisly death metal']
Beautiful Death,3Rqjq9sDEbaEiVPg0eqy8p,32,[]
Beautiful Dudes,7noXZjwbkeEorbtv9HqCPO,7,[]
The Beautiful Dreamers,6KLUPhPP6YdevdV93R0hFb,9,[]
