artists_idxs,duration,explicit,track_idx,track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
"['5g4aQ9x1Nn42DLq0iuqR3S', '2L4iVAgR54yUlHRTHO3xGr']",302500,False,1ueboixgSy8wnyjY2RdXee,Sleep Sounds - Airflight,0.151,0.65,-26.229,0.0902,0.923,0.854,0.109,0.0093,84.0
"['5g4aQ9x1Nn42DLq0iuqR3S', '2L4iVAgR54yUlHRTHO3xGr']",401250,False,5e858xjBk22PHzMyDXDxeS,Sleep Sounds - Jet Plane Sound,0.139,0.188,-29.182,0.0762,0.117,0.408,0.112,0.0209,102.0
"['2L4iVAgR54yUlHRTHO3xGr', '5g4aQ9x1Nn42DLq0iuqR3S']",354000,False,5v5VZpauO5FcvaUO39FVkw,Sleep Sounds - Aircraft Cabin Sound,0.168,0.505,-23.847,0.0764,0.618,0.972,0.117,0.0153,122.0
"['2L4iVAgR54yUlHRTHO3xGr', '5g4aQ9x1Nn42DLq0iuqR3S']",354000,False,3FWEETCaOedIcgZDYWJND5,Sleep Sounds - Airplane Sound First Class Asmr Sleep,0.167,0.513,-22.217,0.105,0.77,0.298,0.116,0.0121,119.0
"['5g4aQ9x1Nn42DLq0iuqR3S', '2L4iVAgR54yUlHRTHO3xGr']",302500,False,6wrW8S4UJ5NBpRxtiKYE5T,Sleep Sounds - Nap on the Plane,0.0761,0.587,-24.694,0.122,0.87,0.448,0.15,0.0193,173.0
"['2L4iVAgR54yUlHRTHO3xGr', '5g4aQ9x1Nn42DLq0iuqR3S']",367000,False,0VkTVci202cRf0L1KywJyZ,Sleep Sounds - Sleeping in First Class,0.135,0.245,-25.952,0.0819,0.453,0.403,0.115,0.0091,84.0
"['2L4iVAgR54yUlHRTHO3xGr', '5g4aQ9x1Nn42DLq0iuqR3S']",209750,False,4CcZEfHjZaB9NZUB0osoXt,Sleep Sounds - Airplane Noise for Children,,,,,,,,,
"['5g4aQ9x1Nn42DLq0iuqR3S', '2L4iVAgR54yUlHRTHO3xGr']",398500,False,5m8hRPQ1kOoQDepuZLIaYh,Sleep Sounds - White Noise Airplane Cabin,0.0548,0.143,-24.407,0.101,0.417,1.0,0.119,0.0124,60.0
"['5g4aQ9x1Nn42DLq0iuqR3S', '2L4iVAgR54yUlHRTHO3xGr']",365750,False,1VaKwK8tiVoSRo3VlLAGag,Sleep Sounds - Soothing Airplane Sounds,0.0748,0.491,-25.326,0.0995,0.301,0.771,0.117,0.0192,83.0
"['2L4iVAgR54yUlHRTHO3xGr', '5g4aQ9x1Nn42DLq0iuqR3S']",289500,False,51h9wSnGR1xsiBWnmdHhNv,Sleep Sounds - Jet Sound,0.0632,0.521,-28.478,0.0876,0.953,0.269,0.112,0.0207,75.0
"['2L4iVAgR54yUlHRTHO3xGr', '5g4aQ9x1Nn42DLq0iuqR3S']",246000,False,09hJ7JcMkf13JPY2Np464Y,Sleep Sounds - Noise in the Air,0.171,0.507,-25.438,0.085,0.461,0.677,0.112,0.0119,93.0
"['5g4aQ9x1Nn42DLq0iuqR3S', '2L4iVAgR54yUlHRTHO3xGr']",299500,False,49WyvypbM5fiRA6cEM4fyl,Sleep Sounds - Sleepy Airplane Cabin,0.0745,0.26,-30.251,0.0805,0.174,0.662,0.111,0.0143,83.0
