title,tag,artist,year,image,views,lyrics,id
Euthanasia,pop,Will Wood,2022,https://images.genius.com/98da7faff76a17bf278e52e9ae90d6e4.720x720x1.png,25091,"[Verse 1]\nI was right there, while you fought tooth and nail\nGasping in the gas mask thrashing 'till you disappeared\nSay you're not scared, that you know it's 'cause I cared and\nSay you know I love you, and that hope was just not there\n\n[Chorus]\nAnd I know, I know that I'm wrong\nThat when you're gone, you're gone and I can't bring you home\nBut I want, I want to believe\nThat you'll remember me when you're just memory\n[Verse 2]\nRoots in the ground or uploaded to the cloud or\nWarm inside our hearts or as electrons in our head, nowhere now\nOver the rainbow, can I stop by and say hеllo and\nSorry I would take it back if I could but I know\n\n[Chorus]\nTo love one from too far to call\nIs not to lovе at all, to whom is it I talk?\nBut I want, I want to believe\nThat you can still hear me when you're just memory\n\n[Verse 3]\nSaid ""It's okay"" and ""It'll all be over soon""\nI'd never let a bad thing happen to you\nNow goodnight I love you\n\n[Bridge]\nAnd every, everybody dies\nFighting for their lives, just trying to survive\nWell now I know, I know why we say\nThat there's a better place that waits beyond the grave, oh, oh\n\n[Outro]\nAnd I know, I know it's not true\nThere's just no more you but as long as there's no proof\nThen I choose, I choose to believe\nThat we'll meet in sweet dreams after you're put to sleep",7902852
Jakkboy Maine vs. Chess,rap,URLtv,2022,https://images.genius.com/4c6a59341a448ff63550d211b6bffa6c.600x338x1.jpg,416,"[Round 1: Chess]\nAyo Surf, ahah\nThey done put Jakk against Jack-Jack\nI’ll jack Jakk and any nigga that Jakk jack\nWhen Beas’ hit my jack, Jakk\nHe told me to write a round, I told him I’ll write half\nI barely came here wit’ jack, Jakk\nI rather nap Jakk, kidnap Jakk, you’ll get snatched up\nIf I drop the ball, you ever played jacks, Jakk?\nGet a bald head from these metal arms, I’m Jax, Jakk\nThis a big ass .40\n[Audience Member]\nThat’s crazy\n\n[Chess]\nI know\nThis a big ass .40\nEarly, early\n\nI’m Jax, Jakk\nThis a big ass .40, and you gamblin’ on that .22?\nSee this where you lose tryna black, Jakk (blackjack)\nI will shoot Jakk\nLet it fire\nLet it sing when I fire from the barrel like we in New Jack\nOr just stab him in the ring\n\n{Chess apologizes to Jakkboy for excеssive physical contact. Jakkboy says it’s all good and to continue rapping.}\n\nI will shoot Jakk\nLet it sing whеn I fire from the barrel like we in New Jack\nOr just stab him in the ring like I’m New Jack\nYou in a fight wit’ a animal and a (in the) Desert: Kangaroo Jack\nThe pump can (pumpkin) spark a flame wherever Jakk is standin’\nBut the Desert Eagle got a triangle for a nose: it’s a jack o’lantern\nIt’s different\nGot a triangle for a nose: it’s a jack o’lantern\nThey see me and say, “He a live wire”, get clapped wit’ the pole\nThen Jakk’s (jack’s) in a hole\nLike TVs before HDMI wires\nYou think you hard, Jakkie?\nI was in the field wit’ a 40, too (42)\nDon’t make me be the first nigga to start, Jakkie (: Jackie)\nChin (Chan) all bruised, I really had to Rumble in the Bronx, Jakkie (Jackie)\nI’ll hit your mother\nThen both arms go across the head of your aunt, Jakkie\nHow you stand there and do nothin’ to the nigga that tossed your chain\nBut jump in the crowd hype ready to fight the nigga that caught the chain\nAgainst John John, you was actin’ off rage\nI mean you literally had a chain reaction on stage\nYour career went downhill\nAlmost wasn’t a nigga Smack was gon’ save\nYou was on the right path, then started movin’ elsewhere\nLike when you travel on Waze\nBoy I will slap you on stage\nManny laid out for 5 minutes pack you (Pacquiao) on stage\nIt’ll be a over the edge “Owen Hart tragic” on stage\nChop him up, sell his organs now he a jack (Jakk) of all trades\nSee, I rap about my life ‘cause in my life, I really do things\nSee, I make movies about movies like the new Scream\nAnd you fiends still worried ‘bout growin’ a tier\nFuck a battle status; what ain’t kill me made me stronger\nI was literally growin’ in tears\nAnd I helped niggas grow they career\nI told Beas’, “If I wrestle man he’ll (WrestleMania) have the biggest show of the year”\nI could get you hunted for a few hunnid\nHave my Jamaican niggas run in your crib ready to shoot somethin'\nI told ‘em, “Keep it proper shotta, rasta pasta make sure it’s a cool run-in (Cool Runnings)”\nI start dumpin’, might not even care if Smack by ya\nHe tried to run, it all went wrong; I gave his back fire (backfire)\nHis cap? He’ll get caught in it, like a bad liar\nOr just run him over, then Jakk (jack) under my whip ain’t for a flat tire\nAnd tell Daylyt I’m still on his tail; I will break Lyt (brake light)\nYou niggas fake fight\nI swing more than two niggas that trade wifes\nAirport shuttles:\nI’ll determine who (the terminal) different when I bust (bus) in plain (plane) sight\nAnd you look like you was in the kitchen for nights\nBut you was hittin’ the pipe, not whippin’ the white\nAll these made up words and never slang shit in your life\nThis nigga be like, “I’ll wap bap alap bam boo ya shit”\nHah, you niggas gay\nSo you gon’ wap bap alap b-\nSound like somethin’ only a Tutti Frutti would say\nY’all know why Jakkboy Maine a sucka?\n‘Cause his chains is rubber\nY’all know why else Jakkboy Maine a sucka?\n‘Cause he be comin’ to battles half-naked, fucker\nY’all know why else Jakkboy Maine a sucka?\n[Crowd]\nWhy?\n\n[Chess]\n‘Cause he a Blood with no respect and his big homie his baby mother\nAt first I thought you and First Lady Flamez was brothers\nY’all look like y’all [?] cigarettes, fistfight, and flame each other\nI promise y’all these are not y’all basic lovers\nSee one minute, hug each other\nNext minute, they hate each other\nOne minute, they in shootouts together\nNext minute they tryna spray each other\nHow the fuck the First Lady the toughest man in your crew?\nYou got a bitch that’s more manly than you\nDress harder, rep the set harder, even prolly got better hands than you do\nMy nigga, you is a square\nAnd we can tell you the weak link based off the jewelry you wear\nThat’s way different\nAnd I did this one round, ‘cause a three round from me, you ain’t gettin’\nI don’t give a fuck ‘bout Jakkboy, the money was my main (Maine) interest\nBody, after body, after body\n\n[Crowd]\nShapeshiftin’!\n\n[Chess]\nIt’s only the beginnin’ of the year\n[Smack]\nYo give it up for Chess y’all\nYou heard, good shit\n\n[Chess]\nI just wanted to rap for y’all real quick\nWe just- this a preview\nCook food, cook food, cook food Jakk\n\n[Smack]\nJakkboy Maine it’s on you\n\n[Round 1: Jakkboy Maine]\nI said on this created player, man I’m finna walk down\nTalk down, spark rounds, ‘til your dome fold\nMr. Struggle ain’t got no cell\nSo I use two cans and a string so he can phone home\nLook, I’ma shoot you and then skin you alive until you all bone\nAsk Kevin Bacon, after this loaded Hollow, Man the [?]\nThis is all wrong, ‘cause Steams your bestie?\nHow zesty\nThe lead speak\nI’m stirrin’ him, stirrin’ him, sternum: my Chess (chest) piece\nGlock, Desert Eagle, or a sniper rifle when I take vision\nThat’s a circle, rectangle, and triangle\nSee my barrels just keep shapeshiftin’\nI stay trippin’\n‘Cause John John killed both of us\nBut next time I’m in Texas I’m hella lurky\nDroppin’ bombs and when the [?] be left\nNothin’ (nuttin’) in Houston like Eddie Murphy\nHe's dead for surely\n‘Cause I’ma shoot him then press the button for his final flight\nMan I’m talkin’ the clap gon’ cross Chess, and then it’s dynamite\nMan it’s time to fight from dawn to night\nPlasma leveler, line it right\nIron sights\nHave bullets from heads flyin’, just like a Amish fight\nI [?]\nRudy Gobert, you was supposed to see the Block Captain and easily dunk it\n‘Cause he rap ‘bout cookin’ drugs on his stove, Cake\nSo how you end up in Eazy (easy) ov-\nMan this is easy does it\nThis where I gear up, steer up (stirrup)\nSear ya, reel ya\nFicky ficky, rewind and rekill ya\nPeel bruh\nSee I’m the devil ‘cause I’m the reason they fear us\nAyy Surf, I seen a monster before too: in my mirror\nWho fear ya\nThey makin’ this stuff up\nYa face, breakin’ and lumped up\nYa lungs, fill it with muck, yuck\nYa kidney stone from the buck, stuck\nThe funeral cost is much, yup\nThe pastor’s prayers went up up\n‘Cause after I skrrt, he won’t, but his mama gon’ be wakin’ the fuck up\nYa luck’s up\n‘Cause you struggled to eat\nI struggled wit’ room and board, this where the pain strikes\nI was 16 playin’ video games, and heard fussin’ and fightin’ through this plain night\nMy mama kicked her ex out and told me to have a place to stay, he better take flight\n{gun clicks} rent paid and I was back in that house the same night\nI let it blaze twice, ‘cause these bitches able\nAmbulance called, doc fix the table\nHis words channelin’ fuzzy, fix the cable\nIt’s a medium cross ya Chess (chest), and rip the label\nThis’ll bang you\n‘Cause you a Bronx nigga that love to dance, right?\nAnd this no fable\nThey go from “Look y’all, he be gettin’ sturdy!”\nTo “Doc, how do we keep him stable?”\n\n{Crowd goes crazy and Chess gets sturdy}\n\nNigga this gon’ grave you\nAnd this yo’ stage visit\nYou talk it but I was made different\nIt go from “Ayo Roc!” to “Ayo stop!”\n‘Cause pussy I Wave different\nGauge liftin’, brains driftin’\n‘Cause he said there’s smoke\nAnd guess what you see when you mix a chest (Chess), a wave, and a bullet?\nThe dead man float\n\nI’m him\n\nI wanna know\nIf we grew up watchin’ you as a kid\nWhat make you think I think you got a body or two?\nAnd I ain’t never seen a “#FreeChess” era ever\nSo don’t holla that we’ll get caught shit\n‘Cause that’s what gettin’ a few homis’ll do\nI am not in the mood\nWhen I think about it\nOur Lil Bow Wow here bein’ a demon could be complacent\nI’m just sayin’\nHe died a few times in this shit\nAnd even Steve Urkel transformed in the basement\nThis is amazin’\n‘Cause y’all forgot he was a baby on cam the first time that we seent about it\nY’all was geeked about it\nCouldn’t sleep about it\nYelled “He’s only sixteen” when you speak about him\nAll the tweets about it got me creepin’ ‘bout it\n‘Til a bullet hit chest (Chess) and knock pieces out it\n‘Cause you know the one thing that never happened wit’ my pistol?\nI ain’t have to think about it\nAin’t no easy [?]\nI put chalk to it, [?] to it, spark to it\nMy nigga Ryda like to name his guns\nBut you wanna know what my GunTitle?\nThen talk to it, all stupid\nYou thought you’d go from a created player to a real killer to stay famous?\nWell play dangerous\nYou’ll be the next New York nigga go from woo-walkin’ to a spray painting\nI’m ragin’\n‘Cause you gon’ say I work for Surf when you under Surf and we business partners\nHe put you under the wing, we bring the culture cha-chi-\nI think you should’ve picked your role a little smarter\nListen, him a martyr\nI’ll make Surf see (Xerxes) one cross the face like this is Sparta\n‘Cause my real Midnight Madness is grabbin’ my AR\n{kiss sound} right after I kiss my daughter\nNigga him no father\nSo watch this\nLil’ boy this where the plot twist\nYou know how I know I’m goin’ to heaven?\n‘Cause I’m doin’ Lord’s foster work\nAnd help him adopt kids\nHop fence, stop prints\nBoots ready, Glock lift\nI’m from the school of kickin’ doors down, Surf\nWho the hell got time to lock-pick?\nYou know what I don’t understand?\nIs the nerve of a nigga\nLike you ain’t know I keep the\nYou ain’t\n\n[Crowd]\nHeard of a nigga\n\n[Jakkboy Maine]\nAnd I’m a murderer, nigga\n[?] aerial strike or let the lead pop\nMake it Double Impact 2\n‘Cause after that helicopter, Chess drop\nAhhhhh\nFuck is they talkin’ ‘bout",7902854
Coffee And Drugs,pop,Stileto,2022,https://images.genius.com/0186509121af4f0d1f646a18257452a5.474x474x1.jpg,1379,"[Intro]\nCoffee and drugs, my first love\nSpinning around till we fall down\nSleeping in cycles away from the sun\nStare in the mirror and see what I’ve done\n\n[Verse 1]\nFeelin’ Sobriety pullin me down (AAhhh)\nBury my habits six feet underground (La la la)\nI wanna riot let my demons out (AAhhh)\nHigh like a joker see me laugh out loud (Ha Ha Ha)\n\n[Pre-Chorus]\nOhh Wow\nTake a chance on my biology\nOhh Wow Wow\nHigh anxiety I’m breakin’, breakin’ down\nOhh Wow\nPsychotic, neurotic but\nDon’t stop the party and spoil my fun\n\n[Chorus]\nCoffee and drugs, my first love\nSpinning around till we fall down\nSleeping in cycles away from the sun\nStare in the mirror and see what I’ve done\n[Post-Chorus]\nLa la la la la\nLa la la\nLa la la la la la\n\n(Coffee and drugs)\n\nLa la la la la\nLa la la\nLa la la la la la\n\n(my first love)\n\n[Verse 2]\nFreak in this bitch I’m the queen of my own little horror show\nStaples and stiches so pretty and twisted just watch me go\nHit like a whip, Harley Quinn, comin’ out to play\nTotally sick, somеthing you can’t explain\n\n[Pre-Chorus]\nOhh Wow Wow\nTake a chance on my biology\nOhh Wow Wow\nHigh anxiеty I’m breakin’, breakin’ down\nOhh Wow\nPsychotic, neurotic but\nDon’t stop the party and spoil my fun\n[Chorus]\nCoffee and drugs, my first love\nSpinning around till we fall down (we fall down)\nSleeping in cycles away from the sun\nStare in the mirror and see what I’ve done\n\n[Post-Chorus]\nLa la la la la\nLa la la\nLa la la la la la\n(Coffee and drugs)\n\nLa la la la la\nLa la la\nLa la la la la la\n(my first love)\n\nLa la la la la",7902855
PLEASE,rap,Omido,2022,No image found,2188,"[Verse-1]\nYou want me to come but baby you won’t let me stay\nYour friends do not know, so you call me only\nWhen it’s late\n\nThings that we do with each other don’t ever change\nUsing our bodies to numb the pain\nFuck on the floor just to feel some way\nSay that it’s over then go again\n\n[Pre-Chorus]\nLights out I’m all over ya\nSo fucked up from the way you touch\nAll mine so don’t play it tough\nBefore I’m in and I’m begging like\n[Chorus]\nPlease\nGet down on your knees\nSaid you want it like this\nNow that I’m in your sheets\nI’ll make you weak, get you begging like\nPlease\nGet down on your knees\nSaid you want it like this\nNow that I’m in your sheets\nI’ll make you wеak, get you begging like\n\n[Verse-2]\nYou say that you’rе lost but baby I won’t let you down\nWe won’t tell anyone how you scream when\nThey're not around\n\nLies that we tell to our friends don’t ever change\nTired of saying we’re not ok\nFucking like whores every single day\nCan’t get enough when you scream my name\n\n[Pre-Chorus]\nLights out I’m all over ya\nSo fucked up from the way you touch\nAll mine so don’t play it tough\nBefore I’m in and I’m begging like\n[Chorus]\nPlease\nGet down on your knees\nSaid you want it like this\nNow that I’m in your sheets\nI’ll make you weak, get you begging like\nPlease\nGet down on your knees\nSaid you want it like this\nNow that I’m in your sheets\nI’ll make you weak, get you begging like\n\n[Outro]\nI’ll make you weak, get you begging like\nPlease\nGet you begging like",7902867
Fred Nevché - La responsabilité des rêves English translation,pop,Genius English Translations,2021,https://images.genius.com/6935f1a38afc234aa3254f19711da3fa.561x561x1.jpg,260,"[Verse 1]\nI don't like the indifferent ones\nI'm struggling with those who look like they don't give a fuck\nThe ""Avoid me I'll follow you""\nThe smug silences\nThe rockers that nothing moves\nThe aestheticizing mystery\nI don't like the satisfied ones\nThe people who seem like they don't need anything or anyone\nThose who keep to themselves, who denies access to them\nAnd will make you know\nA priori, I'm not the most appropriate public for Lou Reed\nYet he touches me\nHe touches me in the gap between the image we have of him from afar, and the image of who he seems to be from a closer angle\nHe touches me in the distance we discover between him, and his own cliché\nWhen taking a better look at it, he precisely touches me by not being an indifferent one, but someone who tells stories\nSomeone who pays attention to the stories he tell, he touches me when he tells the story of Delmore Schwartz\nWho's Delmore Schwartz ? To say it quickly, his mentor\n[Verse 2]\nElegant man born in 1913 in a well-off Jew and Romanian family, Delmore first graduates in the University of New York before pursuing a curriculum in Harvard in the 30s, in the philosophy department, directed by Whitehead\nThen writes a short story in the Partisan Revue, inspired by the divorce of his parents, which will be cited by TS Eliot, William Carlos William, or Ezra Pond, admired by Nabokov\nA short story that would become a classic to say it otherwise\nThe classic of a man who's barely 25\nA classic for Lou Reed too, who'll discover this piece about ten years after its publishing, while taking Creative Writing classes\nWhat you need to understand, is that Lou Reed, of whom so many people are fan, was himself fan of Delmore, absolute fan of his time, until death\nIt's moving to catch famous people admiring other people who are less famous\nMoving to realize that the figures that everybody listens to, sometimes keep quiet to themselves listen to other people\nI started liking Lou Reed when I discovered Lou Reed's humility\nA reading humility, the deference of a fan\n\n[Verse 3]\nIn 2012 Lou wrote a posthumous letter to Delmore, which is concluded by a simple word\nToo simple without any doubt, so simple that it's often mocked\nLou concluded his letter to Delmore by the word ""dream""\nAnd while he's concluding, I'm wondering if admiring someone is basically becoming responsible of their dreams\nCommitting yourself to pursuing them, committing yourself to defending them, to defending the seriousness of it, to taking over from it\nFighting the indifference\nI imagine underground like an attention relay that humans mysteriously pass to each other\nAnd I tell myself that admiring someone, it's taking the risk of taking possession of this baton\nBeing in charge of a soul, of a shared dream\nLou took over from Delmore by his own way\nWho will take over from Lou ?",7902870
No Strings,rap,Confetti,2022,https://images.genius.com/7adc8ee59b601522b7786c102f8519f0.474x474x1.jpg,523,"[Intro]\nLike it or not\nI fill the room like confetti-fetti\nI've had enough of industry fucks (Fuck, fuck, yeah)\n\n[Verse 1]\nSuck sum' heavy, won't ya?\n'Cause everything sounds recycled when the labels poach ya\nRoad kill for the aging vulture\nI pray ya man's he better stick to culture\n(Shut the fuck up, man)\nWhat's the drop? No love\nNeed the dance floor moving kick the tempo up\nGot a tree full of lemons just to juice a couple finished\nThen replenish while the others decompose and we forget 'em\n[Chorus]\nNo you don't want no problems\nNo problems with me\nDon't fuck with a puppet with no strings\nNo you don't want no problems\nNo problems with me\nDon't fuck with a puppet with no strings\n\n[Verse 2]\nBetter find your people\nThe eyes wide, inside, outside people yeah\nThe world got a lot of evil\nIf you dope enough, don't open up your wounds to the needle\n'Cause these motherfuckin' beetles and roaches\nDon't want the commotion\nDon't like when your famous\n'Cause the old money say when the new wave is\nAnd bitches hate when you don't know where your place is\n\n[Chorus]\nNo you don't want no problems\nNo problems with me\nDon't fuck with a puppet with no strings\nNo you don't want no problems\nNo problems with me\nDon't fuck with a puppet with no strings\n[Bridge]\nGot no strings\nYou won't be the boss of me\nI won't be\nSomething I'm not supposed to be\nGot no strings\nYou won't be the boss of me\nI won't be\nSomething I'm not supposed to be\nLike it or not\nI fill the room like confetti (-Fetti, -fetti, -fetti)\n\n[Chorus]\nNo you don't want no problems\nNo problems with me\nDon't fuck with a puppet with no strings\nNo you don't want no problems\nNo problems with me\nDon't fuck with a puppet with no strings",7902879
Back,rap,Jay Rock,2023,https://images.genius.com/e1cbef603f6c11cee182adcd55a78a87.421x421x1.jpg,113,"Lyrics From Snippet\n\n[Verse]\nI do ain't shit\nThe shake bag brazy came back shady with the bay back baby, stay back\nI am shape like crazy I dropped of like babies and get gun naked and Maybach\nI go for her [?] like I am [?]\nI am do with the wood like I am lumberjack\nI ran out the weed we need another pack\nSo I hit my plug what's up with that\nEastside Johnny never run off\nOff that gas like [?]\n4:20 PM when are we stay me and my mouth what say off\nGot a grammy for a projects lil' bitch\nDie down bellow, five nine yeahyou know [?]\nThey say shit I ain't say shit so they ain't shit",7902883
Lost Love Song,rap,Heartbreak Lewis,2021,https://images.genius.com/ebfa5a54ed518075fe0bf55ec7494d65.1000x1000x1.jpg,75,"[Intro]\nI love the way you look at me\nWhen I be up in your arms I'm so happy\nYou wipe away all of the days that feel crappy\nAnd girl it drives me insane when you're mad at me\n\n[Chorus]\nI've been waiting all along to write you this song\nI feel like when you're in my arms girl you where you belong\nAnd I apologize to you if I ever did you wrong\nYou're like a track star running through my mind all day long\nI can't catch a break, is it too late?\nI'ma fight for your love no matter how long it takes\nIt took a long time to get here weeding out the snakes\nGirl if I give you my heart just promise it won't break\n[Verse]\nHeart lockеd up in a cage like an animal\nI be watching your movеs every day like an animal\nGirl I'm just playing, am I?\nOr is this just a disguise?\nWe don't know what's real these days\nThey be so full of the lies\nBut okay right back to you\nYou got this cute attitude\nI'm looking girl and you my queen\nShorty you are my gratitude\nAnd I love you the most\nEven though you can be rude\nTaking you to that backroom\nAnd I'm changing up your mood\n\n[Bridge]\nVibe out, girl lets ride out\nI know you've been busy bae, lets take a night out\nThis ain't no one night stand, promise I'll see you again\nGive me your hand and girl we'll forever dance\n\n[Chorus]\nI've been waiting all along to write you this song\nI feel like when you're in my arms girl you where you belong\nAnd I apologize to you if I ever did you wrong\nYou're like a track star running through my mind all day long\nI can't catch a break, is it too late?\nI'ma fight for your love no matter how long it takes\nIt took a long time to get here weeding out the snakes\nGirl if I give you my heart just promise it won't break",7902886
Fred Nevché - Vcious English translation,pop,Genius English Translations,2021,https://images.genius.com/6935f1a38afc234aa3254f19711da3fa.561x561x1.jpg,232,"[Verse 1]\nVicious\nYou hit me with a flower\nFor hours, hours, baby\nYou're so vicious\nVicious\nYou want me to smash you with a bar\nBut I only have on me\nA guitar plick\n\n[Pre-Chorus]\nWhen I see you coming, hmm\nI've only got one wish, it's running away\nYou're not the kind of girl to hang out with\nWhen you're walking in the street I'd like to\nCrush your hands, wreck your nose\nYou're really not my type, hmm\nYou're creeping me out\n[Chorus]\nVicious, you're so vicious\nYou're so, you're so, so vicious\nVicious, you're so vicious\nYou're so, you're so, so vicious\n\n[Verse 2]\nVicious, eh\nYou hit me with a flower\nFor hours, baby\nYou're so vicious\nVicious\nI want to see you swallow razor blades\nWho did you take me for, uh\nFor one of these street queens ?\n\n[Pre-Chorus]\nWhen I see you coming\nAll my warning lights go wild\nYou're really not sane at all, most probably not funny\nWhеn you're walking in the street, I'd like to\nCrush your hands, wrеck your nose\nYou're really not the kind of girl to hang out with\n\n[Chorus]\nVicious, you're so vicious\nYou're so, you're so, so vicious\nVicious, you're so vicious\nYou're so, you're so, so vicious\n(So vicious)",7902908
Girl Boy Girl,rock,Plastic Mermaids,2022,No image found,96,[Verse 1]\nDon't tell me it's not that simple you know\nWe could work this out but it feels somehow\nLike I'm shoving food into the mouth that'll bight\nMe in the end\n\nAnd I wouldn't try so hard if you didn't care\nBut I thought you might all those things you said\nIn your sisters bedroom are pinned to the walls\nInside my head\n[Chorus 1]\nSo don't act like there's nothing happening\nWe are the cage you won't stop rattling \nGirl boy girl it's unconventional \nIntertwined and three dimensional\n\n[Verse 2]\nSomething tells me you're not here for the lols\nEvery word i say hits like a wrecking ball\nTo a face dеvoid of charm but staring me right\nBack in the eyе\n\nUp all night and you're not letting me in\nCan't you see this jealousy has made me thin\nI know it happened out of sight but I can't shake\nIt from my mind\n\n[Chorus 1]\nSo don't act like there's nothing happening\nWe are the cage you won't stop rattling\nGirl boy girl it's unconventional\nIntertwined and three dimensional\n\n[Chorus 2]\nTake me leave me do whatever you will \nSwimming in a cup you're going to spill me\nDrink me pour it onto the floor\nHolding on till I evaporate \n[Chorus 1]\nSo don't act like there's nothing happening\nWe are the cage you won't stop rattling\nGirl boy girl it's unconventional\nIntertwined and three dimensional\n\n[Chorus 2]\nTake me leave me do whatever you will \nSwimming in a cup you're going to spill me\nDrink me pour it onto the floor\nHolding on till I evaporate ,7902957
