annotation_count,api_path,artist_names,full_title,header_image_thumbnail_url,header_image_url,id,language,lyrics_owner_id,lyrics_state,path,pyongs_count,relationships_index_url,release_date_components,release_date_for_display,release_date_with_abbreviated_month_for_display,song_art_image_thumbnail_url,song_art_image_url,stats,title,title_with_featured,url,featured_artists,primary_artist
0,/songs/7182518,Vampire Weekend (Ft. Vampire Weekend),* by Vampire Weekend (Ft. Vampire Weekend),https://images.genius.com/11aa552a22db678674a92e03df110e6e.300x300x1.jpg,https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg,7182518,en,14665129,complete,/Vampire-weekend--lyrics,,https://genius.com/Vampire-weekend--sample,,,,https://images.genius.com/11aa552a22db678674a92e03df110e6e.300x300x1.jpg,https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg,"{'unreviewed_annotations': 0, 'hot': False}",*,* (Ft. Vampire Weekend),https://genius.com/Vampire-weekend--lyrics,"[{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}]","{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}"
5,/songs/4249139,Vampire Weekend,2021 by Vampire Weekend,https://images.genius.com/0ba70b70e3f2c55d35e0f63f07ea73bd.300x300x1.jpg,https://images.genius.com/0ba70b70e3f2c55d35e0f63f07ea73bd.1000x1000x1.jpg,4249139,en,1583418,complete,/Vampire-weekend-2021-lyrics,4,https://genius.com/Vampire-weekend-2021-sample,"{'year': 2019, 'month': 1, 'day': 24}","January 24, 2019","Jan. 24, 2019",https://images.genius.com/4535b464eefdbf847ffc1da7eff2a255.300x300x1.png,https://images.genius.com/4535b464eefdbf847ffc1da7eff2a255.1000x1000x1.png,"{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 80290}",2021,2021,https://genius.com/Vampire-weekend-2021-lyrics,[],"{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}"
1,/songs/6456492,Vampire Weekend (Ft. Sam Gendel),2021 (In the Space Between Two Pieces of Wood) by Vampire Weekend (Ft. Sam Gendel),https://images.genius.com/dc9b16849438bb6c9ec7535c54308ec6.300x300x1.jpg,https://images.genius.com/dc9b16849438bb6c9ec7535c54308ec6.1000x1000x1.jpg,6456492,en,93685,complete,/Vampire-weekend-2021-in-the-space-between-two-pieces-of-wood-lyrics,,https://genius.com/Vampire-weekend-2021-in-the-space-between-two-pieces-of-wood-sample,"{'year': 2021, 'month': 2, 'day': 4}","February 4, 2021","Feb. 4, 2021",https://images.genius.com/dc9b16849438bb6c9ec7535c54308ec6.300x300x1.jpg,https://images.genius.com/dc9b16849438bb6c9ec7535c54308ec6.1000x1000x1.jpg,"{'unreviewed_annotations': 1, 'hot': False}",2021 (In the Space Between Two Pieces of Wood),2021 (In the Space Between Two Pieces of Wood) (Ft. Sam Gendel),https://genius.com/Vampire-weekend-2021-in-the-space-between-two-pieces-of-wood-lyrics,"[{'api_path': '/artists/1146753', 'header_image_url': 'https://images.genius.com/fc7fc2532809ebe927762f0e16691cd7.956x498x1.jpg', 'id': 1146753, 'image_url': 'https://images.genius.com/f5ed49e8df092cbc0729b4d2aeaa8e27.546x546x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Sam Gendel', 'url': 'https://genius.com/artists/Sam-gendel'}]","{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}"
1,/songs/6456491,Vampire Weekend (Ft. Goose (US Band)),"2021 (January 5th, To Be Exact) by Vampire Weekend (Ft. Goose (US Band))",https://images.genius.com/dc9b16849438bb6c9ec7535c54308ec6.300x300x1.jpg,https://images.genius.com/dc9b16849438bb6c9ec7535c54308ec6.1000x1000x1.jpg,6456491,en,93685,complete,/Vampire-weekend-2021-january-5th-to-be-exact-lyrics,,https://genius.com/Vampire-weekend-2021-january-5th-to-be-exact-sample,"{'year': 2021, 'month': 2, 'day': 4}","February 4, 2021","Feb. 4, 2021",https://images.genius.com/dc9b16849438bb6c9ec7535c54308ec6.300x300x1.jpg,https://images.genius.com/dc9b16849438bb6c9ec7535c54308ec6.1000x1000x1.jpg,"{'unreviewed_annotations': 1, 'hot': False}","2021 (January 5th, To Be Exact)","2021 (January 5th, To Be Exact) (Ft. Goose (US Band))",https://genius.com/Vampire-weekend-2021-january-5th-to-be-exact-lyrics,"[{'api_path': '/artists/2722088', 'header_image_url': 'https://images.genius.com/b521c526d26ad6b386e1cc3c8ebb7234.500x500x1.jpg', 'id': 2722088, 'image_url': 'https://images.genius.com/b521c526d26ad6b386e1cc3c8ebb7234.500x500x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Goose (US Band)', 'url': 'https://genius.com/artists/Goose-us-band'}]","{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}"
0,/songs/5972634,Vampire Weekend,2021 (Live in St. Augustine) by Vampire Weekend,https://images.genius.com/3d00e7aa8241ea6b955dde92524efe44.300x300x1.jpg,https://images.genius.com/3d00e7aa8241ea6b955dde92524efe44.500x500x1.jpg,5972634,en,11723282,complete,/Vampire-weekend-2021-live-in-st-augustine-lyrics,,https://genius.com/Vampire-weekend-2021-live-in-st-augustine-sample,"{'year': 2020, 'month': 7, 'day': 9}","July 9, 2020","Jul. 9, 2020",https://images.genius.com/3d00e7aa8241ea6b955dde92524efe44.300x300x1.jpg,https://images.genius.com/3d00e7aa8241ea6b955dde92524efe44.500x500x1.jpg,"{'unreviewed_annotations': 0, 'hot': False}",2021 (Live in St. Augustine),2021 (Live in St. Augustine),https://genius.com/Vampire-weekend-2021-live-in-st-augustine-lyrics,[],"{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}"
14,/songs/53598,Vampire Weekend,A-Punk by Vampire Weekend,https://images.genius.com/ef31622e93d6cf91e2660d470f7e416f.300x300x1.jpg,https://images.genius.com/ef31622e93d6cf91e2660d470f7e416f.1000x1000x1.jpg,53598,en,12,complete,/Vampire-weekend-a-punk-lyrics,29,https://genius.com/Vampire-weekend-a-punk-sample,"{'year': 2008, 'month': 2, 'day': 28}","February 28, 2008","Feb. 28, 2008",https://images.genius.com/42acb04b412f29cfc918db05c01221ae.300x308x1.jpg,https://images.genius.com/42acb04b412f29cfc918db05c01221ae.600x616x1.jpg,"{'unreviewed_annotations': 2, 'hot': False, 'pageviews': 177630}",A-Punk,A-Punk,https://genius.com/Vampire-weekend-a-punk-lyrics,[],"{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}"
1,/songs/1554162,Rockapella,A-Punk by Rockapella,https://images.genius.com/51e829013d8bca007f26e84392c1f818.268x268x1.jpg,https://images.genius.com/51e829013d8bca007f26e84392c1f818.268x268x1.jpg,1554162,en,175962,complete,/Rockapella-a-punk-lyrics,,https://genius.com/Rockapella-a-punk-sample,"{'year': 2010, 'month': 9, 'day': 21}","September 21, 2010","Sep. 21, 2010",https://images.genius.com/51e829013d8bca007f26e84392c1f818.268x268x1.jpg,https://images.genius.com/51e829013d8bca007f26e84392c1f818.268x268x1.jpg,"{'unreviewed_annotations': 0, 'hot': False}",A-Punk,A-Punk,https://genius.com/Rockapella-a-punk-lyrics,[],"{'api_path': '/artists/358421', 'header_image_url': 'https://images.genius.com/271a5a45d30439284f027dca466f1b21.1000x619x1.jpg', 'id': 358421, 'image_url': 'https://images.genius.com/271a5a45d30439284f027dca466f1b21.1000x619x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Rockapella', 'url': 'https://genius.com/artists/Rockapella'}"
0,/songs/5972633,Vampire Weekend,A-Punk (Live in St. Augustine) by Vampire Weekend,https://images.genius.com/3d00e7aa8241ea6b955dde92524efe44.300x300x1.jpg,https://images.genius.com/3d00e7aa8241ea6b955dde92524efe44.500x500x1.jpg,5972633,en,11723282,complete,/Vampire-weekend-a-punk-live-in-st-augustine-lyrics,,https://genius.com/Vampire-weekend-a-punk-live-in-st-augustine-sample,"{'year': 2020, 'month': 7, 'day': 9}","July 9, 2020","Jul. 9, 2020",https://images.genius.com/3d00e7aa8241ea6b955dde92524efe44.300x300x1.jpg,https://images.genius.com/3d00e7aa8241ea6b955dde92524efe44.500x500x1.jpg,"{'unreviewed_annotations': 0, 'hot': False}",A-Punk (Live in St. Augustine),A-Punk (Live in St. Augustine),https://genius.com/Vampire-weekend-a-punk-live-in-st-augustine-lyrics,[],"{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}"
10,/songs/53589,Vampire Weekend,Arrows by Vampire Weekend,https://images.genius.com/086bcb10f059f9eaba53b9037c1e3df6.300x300x1.jpg,https://images.genius.com/086bcb10f059f9eaba53b9037c1e3df6.500x500x1.jpg,53589,en,12,complete,/Vampire-weekend-arrows-lyrics,,https://genius.com/Vampire-weekend-arrows-sample,"{'year': 2008, 'month': 1, 'day': 1}","January 1, 2008","Jan. 1, 2008",https://images.genius.com/086bcb10f059f9eaba53b9037c1e3df6.300x300x1.jpg,https://images.genius.com/086bcb10f059f9eaba53b9037c1e3df6.500x500x1.jpg,"{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 8114}",Arrows,Arrows,https://genius.com/Vampire-weekend-arrows-lyrics,[],"{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}"
1,/songs/2516199,Genius (Ft. Vampire Weekend),Artist Archive: Vampire Weekend by Genius (Ft. Vampire Weekend),https://images.genius.com/f4df5c992c2a98130aa59371effc51bb.300x300x1.png,https://images.genius.com/f4df5c992c2a98130aa59371effc51bb.1000x1000x1.png,2516199,en,1448826,complete,/Genius-artist-archive-vampire-weekend-annotated,,https://genius.com/Genius-artist-archive-vampire-weekend-sample,,,,https://images.genius.com/f4df5c992c2a98130aa59371effc51bb.300x300x1.png,https://images.genius.com/f4df5c992c2a98130aa59371effc51bb.1000x1000x1.png,"{'unreviewed_annotations': 0, 'hot': False}",Artist Archive: Vampire Weekend,Artist Archive: Vampire Weekend (Ft. Vampire Weekend),https://genius.com/Genius-artist-archive-vampire-weekend-annotated,"[{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}]","{'api_path': '/artists/204611', 'header_image_url': 'https://images.genius.com/822a5f872a1fcfe377695dc0046c6bc6.900x176x1.jpg', 'id': 204611, 'image_url': 'https://images.genius.com/0ca83e3130e1303a7f78ba351e3091cd.1000x1000x1.png', 'is_meme_verified': True, 'is_verified': True, 'name': 'Genius', 'url': 'https://genius.com/artists/Genius', 'iq': 78256}"
