title,tag,artist,year,views,features,lyrics,id,image
Fly In,rap,Lil Wayne,2005,78271,{},"[Intro]
So they ask me
""Young boy
What you gon' do the second time around?
How you gon' come back?""
I tried told 'em
""I come back like 32
I jump back like 33""
Ugh, hit me
That's nothing
This is Tha Carter II, people
This is Tha Carter II, people
Hey

[Verse]
They call me Mr. Carter, I kissed the daughter
Of the dead's forehead, I killed the father
Spilled the heart of a mildew hater
I will put them body on chill like glaciers, gracias
I'm crazy, yes, it's obvious
Going against me is atheist
I got my angels on my shoulder and a quarter of that angel dust
I ain't sniffing, I'm just pitching, your honor
I ain't snitching, your honor
Hate bitch niggas, bitches with power
Vacate when that kitchen get hotter
I just sit on the counter
Open the cabinet, close the cupboard
Put that jar in the skillet, drop a four in the bubbles
I remember being young, tryna hustle my dope
Tryna tell the old junkies that my crack ain't soap
Tryna tell you 'fore you jump that my MAC ain't broke
You ain't tryna see how far that black back lane go, no
Call me Pac-Man, your ghost is blue
I got my Red River rubies and my ocean blue jewelry
Usually I'm a hooligan for the money
Yeah, I'm eating, but I got a tapeworm in my tummy, oh
Make harm and I bomb you in public
Hit you with the straight-arm, no warning, nothing
Look, it's morning, no yawning or nothing
I ain't sleeping, I'm up tryna take a nigga lunch
You gon' make a nigga break a nigga fronts
Then shake a nigga shorts and we taking what we want
I'm so 504, you got to kill me here
If you ever looking for me, bitch, I will be here
Cash Money is an army, Navy Seal me here
Lot of niggas ran from me, but I still be here
No chrome on the Continental, I'm so fundamental
Crack the Phil', crack the roof, and roll up the windows
And my hood love me, they tell me bring it home
That's why I holler Hollygrove on each and every song
You leaping at a dog, a dog with no bark
Just a bite like an old shark
And all you rich niggas know Pa, I'm talking 'bout Stunna
He like, ""Keep your dough,"" he got your ho
And the sun shines on the king and sets on the prince
I met the Birdman and I been shining ever since, like that",6,https://images.genius.com/98c56aa11e01a9c25b7485cc3a25c78f.300x300x1.jpg
Foo Dang,rap,Anybody Killa,2002,281,"{""Blaze Ya Dead Homie""}","[Chorus: repeat 2X]
Why you tryin to play me, foo dang? (Foo Dang)
Just cause I wanna let my nuts hang
Teeth bang on the streets servin heads all night
Some of us just ain't livin right

[Blaze]
I know this stupid bitch who think she know me
She even wanna call me Blaze Her Dead Homie
Bitch keep ya mouth shut cause ya foo dang
Couldn't hold my balls, couldn't hold my wang
Stank hoes wanna see me in the grave
But I'm quick to slap a trick wit a 12 gauge
You know you was speakin my name, playin games
And sayin things you know he's actin like something changed
But I know you are reppin your fancy car
Little money, foo dangin at the tittie bar (Bitch!)
7 dicks shoved in her box nightly, is she fucking?
(Is she fuckin?) For the right price she might me
Stank hoe, I never paid for ass
So take a stray cat, and shove it in ya flat ass
Get up out my face wit that foo dang drama
Where she learn that shit? Man she get it from her mama
[Some guy]
I say Foo, you say Dang
Foo (Fuck You!!)
Dang (Fuck You!!)
Someone say fa sho, yea I'm in the house
Yea I'm in the house

[Chorus]

[Anybody Killa]
I foo dang on the daily, go ahead and call me shady
Bad boy on the streets, startin static since the '80s
So why you gotta front? Try and play me like a punk
If you keep talkin shit, you gon' end up in my trunk
Jackin beats from bustas, we foo dang like that
Robbin hoes for they gold then trade it in for a sack
Don't even think for a second that we high class
40 drinkin freaks with some dank and a nice ass
? identity with some eastside conflict
Bitches make me sick if they don't foo dang dick
Keep it real and I'll try to keep it real back
Try to trip in over all the bodies that I shot wit the gat
Hunt you down wit my automobile, roll down the window slow
Then punch you right in the throat
Type of shit that most people call a little fucked
But it's simple and plain, we foo dang, so don't front
[Some guy]
Yo Killa, this Tadpole
I got ya number from this bitch I know
I was the guy followin you home from the signin ??
Yo man why you ain't pull over?
I ain't no houndog or nothin but I just

[Chorus]

[Blaze]
Foo dang is what I call a hoe without a pistol
Walkin all alone (There she go) and if I see you it's on
I'm callin out old janky bitches wit no heart
Dogs with no bite that wanna bark
Reppin gold is like a crip wearin red in my hood
And I'll slap ya wit a bat like a G should (Beeitch!!)
Bitch, check yourself into the crackhead clinic
You can't get no ? bringin a bag wit bottles in it

[Anybody Killa]
Foo dangin wit a hatchet, come and get ya ass kicked
If you bring a bottle then I really wanna smash it
Sellin weed filled wit stems and seeds
Same shit for $550 but you askin a G
Now that's the kinda shit that makes a mind go crazy
2 packs of 'Ports a day and I just can't take it
I swear if 1 more hero tries to flex in my face
I'll go foo dang around the globe and make the whole world change
[Chorus]",8197,https://images.genius.com/d46681ef4754abe5cb1656e8822b7fc9.480x480x1.jpg
Sunshine,rap,AZ,2004,655,{},"Once again, firm affiliation
Like we say; the show must go on

[Chorus: 2X]
Sunshine - we hustle to the moon light
Reminisce on a good time
Cop come on boget

Yo when times get trifle
I'm subjected to street survival
See many never complete they cycle
Other retreat to bibles, living holy
But currency seem to control me, moving coldly
In the presence of old parolies
My mind mold me, keep me in mack mode like Goldie
Police know me, but ain't got enough to hold me
I follow rules, through the knowledge, swallow jewels
A form of teaching, from the streets never taught in school
You caught you lose, a wise man utilize tools
Solitude certifies all moves
So I walk this path of the old dread, that lead me off the Ave
Absorbing fast, learning from niggas I lost in the past
Its poison plays in these foul days
Housing cops and they foul ways, I'm walking through a wild maze
Holding my brain trying to maintain
Sleet hell, snow, or rain, I guess the game will never change
[Chorus]

Since the genesis, paraphernalia circle my premises
Poor images, project life drained my innocence
It's all the worst genocide, I guess the water's cursed
My old earth identify, though her soul is for the church
She prayed for peace, hoping I'm saved before she lay deceased
To say the least, the one to wise to play the streets
I know the ropes, certain niggas to slow to cope
& though I sold some Coke, it was only to stay afloat
Amongst the frozen hearted, some bending, some departed
Inhaling chocolate, tracing back to where it started
The Crack wave 2 for 5, deuce and trays
The Mack sprays, puffin' lye, truth & days
& though it sound ill, through all the foul shit, I'm down still
All around real, rough is the grounds in Brownsville
I know the ledge, meditating, holding my head
Eyes red, it's ""Doe or Die"" till I'm dead

[Chorus]

I played all positions, plus learned from each mission
Politic wit all type niggas wit different diction
I did it up, from young in some cunt, the way I hit it up
Bugging off my first Philly Blunt, and how I lit it up
But time flying, playing these corners I'll let it slide by
Smoking lye, homicide, coke supplies dry
So play the game, other slow up change the lane
Awaken, unchain the brain in exchange to take away the pain
It's a part of scriptures, put together wit different mixtures
They tricked us, got us trapped in taking pictures
Interrogating, locating, destination, estimating
Or play a part of them investigating
It's on going from them killers, to them broads hoeing
Unknowing first time felons on trial blowing
So burn your clips and sit back, learn your shit
The last of these real reps left turned legit
[Chorus]",8716,https://images.genius.com/fb708d94440fffe20eb3e9b4d6487268.297x297x1.jpg
Time,rap,AZ,2004,7577,"{Nas,Nature}","[Verse 1: Nature]
At the ripe age of 24, I done seen it all, done it all
Some dreams stay fresh and some are spoiled
Dealin' with time, winter, spring, summer, fall
It's crazy changes, is this that made me famous?
I come a long way from Timbs, minimum wages
Stockin' caps, summer jobs, pockets flat
It's funny how my childhood idols now be coppin' crack
I ain't knockin' that, unfortunately, life's too short to see
It's only right we move accordingly at every second
I use to carry heavy weapons
Previously cocked, tucked in my shirt for every session
But hold up, a 2-6 bid made me grow up
Came home to the same damn dreams with no luck
And half the clique's strong, the other half moved on
Some with new lives and new wives, niggas live long
The foulest thing about time - it still ticks when you gone

[Verse 2: Nas]
For those who live the way I live, we came a long way
From wipin' cold outta eyelids to rap's hottest
Smokin' lye, let track guide us
Remember back then before MAC-10's, expensive bottles?
Had a sick mind, niggas taught me how to get mine
We'd often sip quarts, they get tossed at the spit line
To all niggas that the Lord seemed to gip for their time
While we plan to live forev', he had a different design
Is it safe to say, we all perish on the sacred day?
With my luck, soon as I reach the gate, they make me pay
Pray, minutes go by, Indigo high
The specialist, decked out dark specs, finessin' it
Used to play catch-a-kiss, same girls back then
Now, leave us messages, a whole lot
Travel to my old spot where we sold rock, although it's trifle
Ain't nothin' changed, just like time, it's all a cycle
[Verse 3: AZ]
Yo, wake up to the world, stay in charge of your dreams
Keep your vision, focus, get wise, enlargen your cream
Marketin' schemes, so many in the dark is unseen
Caught in between, perhaps rap was a fortunate thing
Forced to be king from hustlin', supportin' them fiends
Bustin' guns, I had no remorse as a teen
Rockin' birth stones, my first skid bid, nurse the dome
It hurts to zone, now I've realized, I'm on this Earth alone
Time ticks, devilish mind design tricks
Leave you blind quick and cause you to die behind shit
Mathematics, master 120, I'm Asiatic
Amazed with magic 'cause it's illusions that made me savage
Life change once you establish the right game
Love the night rain, found a new way to fight pain
Clocks never stop, it's all a race to the top
Tryin' to freeze time, that's why I iced the face of my watch",8717,https://images.genius.com/fb708d94440fffe20eb3e9b4d6487268.297x297x1.jpg
Colors,rap,Gucci Mane,2008,34914,{},"[Verse 1]
Blue and white Charger
Same color the Dodgers
Crayola car same color as a marker
Red '74 same color as a Cardinal
Fat bank rolls like I robbed Wells Fargo
Black Bentley coupe same color as some charcoal
Clear through top same color as a dope boy
Off-white Jag same color as the yayo
Pure white guts same color as some mayo
Transformer Benz Decepticon like Legos
Sixes got my donk sitting like a Winnebago
Paint like Play-Doh
The alfredo Lambo
The shrimp scampi Chevy and the guts look like egg yolk

[Hook]
Colors, colors
All my ice is colors, colors
I live my life in colors, colors
And my girls is colors, colors
And my world is colors, colors
I live my life in colors, colors
I rock my ice in colors, colors
And my world's in colors, colors
And my girls is

[Verse 2]
Benz look like Fruit Loops
Diamonds look like Juicy Fruit
See-through golden brownish coupe
Same color as apple juice
Flashy as a stack or two
Safe like da crackers do
Green and golden Chevy same color as the Packers boots
Dark and patent leather seats
Mellow yellow bezel
Got the ground beef guts painted Hamburger Helper
Amazon Jacob same color as a leopard
Black diamonds in it same color as a checker
Red and blue and white 'Bird like Woody Woodpecker
Smoked a half an ounce of goody cause it make me feel better
Chopper on the floor
Shotty on the dresser
Million dollar lick and I hope it be successful

[Hook]
[Verse 3]
Brand new black Benz
Same color a ink pen
Took it to the tech shop
Sat it on some street spins
Retro Jordans same color as my painted rims
Porsches look like Seagram gin
Forces look like oxygen
Vette look like margarine when it hit the block
I named that bitch ""Chiquita"" then removed her from the top
Bought my girlfriend Gucci loafers and a pocketbook
Got her looking fruity like she got her color book
Trophy-trophy dosey-dosey
Jake Jake no rolly-polly
Guatemala 740 same color as guacamole
Sour cream and onions
Ferrari look like Funyuns
White and green Lotus same color as the MONEY!",21,https://images.genius.com/be3d5978547d723478eb852b861e1a08.640x640x1.jpg
Broads,rap,Big Tymers,1998,21552,"{""Lil Wayne""}","[Verse 1: Manny Fresh]
See these broads, I like 'em and shit
Wish I could give all these hoes a picture-of-my dick
See I like em and psyche em, then I get in the win
I might just need you and leave you at a quarter past ten, but
I ain't gonna lie, your pussy was good
But your mouth is better so I wish you would
Work your way down to the diznick
It feels so good when you do the liznick
You got me doing push-ups and I'm taking ginseng
(Let's get ready to rumble!) In the middle of the ring
You got my dick hard like a '57 Chevy
Rocked up, ya cocked up, cause I'm ready
To go up in ya, let that other nigga send ya
Cards and shit while you suckin' my dick
I like you a little bit more than I'm diggin' my shirt
Ya little pretty ass dick suckin' expert, beeyoch!

[Chorus: Lil Wayne]
See I love these broads but I toss em up quick
Every trick that I get, they get flipped through the clique
See I love these broads but I toss em up quick
Every trick that I get, they get flipped through the clique
[Verse 2: Birdman]
These broads, nigga, I wish that I could love 'em all
These broads, nigga, I wish that I could fuck 'em all
These broads, I let these hoes just drive my car
But these hoes know one thing: that I'm a superstar
These hoes get out of line, I'ma show 'em I'm a hog
And now that I'm rich, I show these hoes that they ain't shit
And every ho I fuck with, I make suck my dick
It ain't no secret, I know these hoes about my money, shit
But I tell a ho quick, that she ain't shit
My main ho Clare, I don't make her suck my dick
I might just get loose and wanna kiss my bitch
But now that I got a daughter, I'm supposed to be light on a bitch
But I'm gonna be hard on these hoes for life, shit
I'm a true U-P-T player for life, shit
But I'ma say it again, I don't love no bitches
I about my money, nigga, and fucking these bitches

[Chorus: Lil Wayne]
See I love these broads but I toss em up quick
Every trick that I get, they get flipped through the clique
See I love these broads but I toss em up quick
Every trick that I get, they get flipped through the clique

[Verse 3: Birdman]
Now I done been here for 25 years
I understand one thing: that life is a bitch
I done lost my ma and my pa, my brother and my sister all up in one year
I understand one thing, I gotta ball 'til I fall
And show these hoes that money ain't no thang, dawg
See, I tell a bitch that she ain't shit
And at the same time ask that ho to suck my dick
See, I don't take money and mix with no bitch
Cause one thing, these hoes would lose they mind and get lost quick
It ain't no secret, I make these hoes think I'll pay their shit
But I keep it real and I pay my nigga's shit
I say, ""fuck a ho,"" and make these hoes back up
I keep it real and fuck with niggas who'll act up
And kick in your front door, your ho told my nigga where your dope
Now you stuck out like a ho!
And my niggas done hit a lick from your bitch
And all you hoes mad cause we done hit your shit
[Chorus: Lil Wayne]
See I love these broads but I toss em up quick
Every trick that I get, they get flipped through the clique
See I love these broads but I toss em up quick
Every trick that I get, they get flipped through the clique

[Outro: Birdman, Lil Wayne]
Birdman: Now that was beautiful Baby. How you love that? Wassup wassup, me, with these bitches
I like gettin' my dick sucked, that's the only way I can get it. What's happenin'
Dawg, I like to get full of that enema and Kool-Aid, go all night
Yeah, I get full of the Crystal, that shit get a nigga hot. Bitch know one thing: she fucking with Baby, she gonna scuff her knees up, it's just like that. On the other hand, Lil One, what's happenin', what you workin' with, what's in your pockets foo?
I'm playing with about, 15
Well, if he got 15 then you know I got 45. Wassup. Cadillac wassup boy? Uptown for life. Drivin' nothing but new cars and fuckin these broads. We pimp with our nose closed now boy! We about to have big thangs! Pretty broads! Nothing but new cars! It's all gravy, baby, believe that. Hot Boyz...it don't stop till the casket drop. It ain't gonna move unless the paper move",22,https://images.genius.com/df9b13148499e2948bc201da664fdcfe.777x768x1.jpg
Rockin and Rollin,rap,Cam'ron,1998,6399,"{""Cam\\'ron""}","[Verse 1]
Ay yo you wonder who I are
I guzzle up at the bar
But you see me in the cars that start with the double R
Range Rover, Rolls Royce, even got a Rocky Rolly
See more ice than a hockey goalie
Baby eating guacamole
I did without
Now I live it out
Cars? got to whip it out
Every year I get it out
(Why?) I be long gone
(Where?) probably Hong Kong
Girls with their thong on
I'm playing Don Juan
Drinking Chandon
Where the chron, ma?
""You smoke weed?"" ""What you think, girl? Uh-huh!""
Start the car up
Take her on a long ride
Yo she think my steering wheel on the wrong side
No I'm sorry
This is the Ferrari
Limon like Bacardi
Rock with safari
But la di da di
We like to party
And every night, believe, we gon' leave with somebody
[Hook]
We was rockin' and rollin'
Now we rollin' and smokin'
On the phone and we chokin'
While you strollin' and hopin'
For the tone which you spoke in
And I know that you're open
Live a Branson life and a brand new 5
Hot man, God damn, Killa Cam be live

[Verse 2]
Ay yo come on, girlfriend I ain't no actor, really
So when you come around here don't be acting silly
Askin ""did he?""
Come on I got the baddest biddies
Ass is pretty
Like hoes down in Magic City
Now you smoke hoes and the coco
Niggas say I'm loco
Cause I'm low low from the po-po
Every night I stroke hoes
No-no for homos
F doing promos
I was Def already I just added the So-So
Wherever we at
Ready to act
Better be strapped
I live the life of Riley
Whether Teddy or Pat
And when it come to the cash
Bet I'm heavy with that
If your man want to bet
Then I bet he be cracked
And your little girlfriend
She was wet off the bat
From the Chevy tonight;
Yo, I'll bet she be back
For the one night stand
Yeah, the sex in the sack
Yo I ask her if she miss it
Then I tell her to kiss it
Come on
[Hook]

[Verse 3]
Ay yo your girl around me? That's like sand to a beach
Or a gram to a ki or a branch to a tree
Your money? That's my advance to a G
And you'll see me and Lance to the B
Yeah acting wild
Jimmy back me, child
How long you think an ounce gonna last me now?
But I love when hoes call me
""The Cat's Meow""
Cause I run up in them and I make their cats meow
Are you hip to the jive?
How we get to the thighs?
Half of my game? Yo, that shit be a lie
But it's true about Duke from the hoop to the 5
And I'm right behind him in a coupe that we drive
Baby am I slick
Oh your friends are sick
To see me and my chicks in DKNY kicks
And my clique
Yo we get the dank and bounce
And put another half a mil in my bank account",10,https://images.genius.com/3c9078c99248a02e298976d5d0e167be.600x600x1.jpg
Lord You Know,rap,Cam'ron,2004,11882,"{""Cam\\'ron"",""Juelz Santana"",Jaheim}","[Chorus: Jaheim]
Now Lord you know, just how hard I try
To live my life and get it right
Trying to see some light or even better
Way over way a new day, someday
Yesterday was filled with sorrow but tomorrow
It gets better I know, tell you, I know

[Verse 1: Cam'ron]
With my muscle you'll be dazzled, but hustlin's a hassle
Percocet, Demerol, capsules of Paxil
Cops wanna cuff you, niggas wanna clap you
Bitches might burn you; they runnin' with that clap too
But the monster made it
Do it for those incarcerated, who had it confiscated
Hate it when they take powder
Upstate he take showers
Baby moms on Greyhound for 8 hours
See her man face-to-face through the glass
On the phone. 10 years he got, chasin' that cash
Cocaine, he had that game in a smash
Felt like the Towers when the planes went on crash
It wasn't 9-11, but it was 9-1-1
Gave him 9 plus 1, dropped a dime on dun
I told him get his 9 and run
Turned himself in, I had to find that dumb
[Chorus: Jaheim]
Now Lord you know, just how hard I try
To live my life and get it right
Trying to see some light or even better
Way over way a new day, someday
Yesterday was filled with sorrow but tomorrow
It gets better I know, tell you, I know

[Verse 2: Cam'ron]
Ayo, them niggas from the three two, said I can't breeze through
The 40 if I cop bottles, we can't believe you
Me who? Please boo, landin' in that G2
Same color as beef stew, favorite letters: GQ
That's me, true, peach/blue, Hebrew
Lawyer on my side keep me out of jail the fees stew, steep? Woo!
But it might lead to that R2D2, the mobsters creep through
We the new PE, shittin, pee-ew
To the hood: y'all don't need me, I need you
'Cause my mission's insane, you couldn't vision the pain
Always a snitch in the game, what you want: prison or fame?
Either one, dun, long as my digits the same
He lookin' frigid, dig it, make sure them digits get changed
'Cause I can't be in Hell's cell, shout out to Mel Mel
Cash and Hell Rell, Zeek doin' 3, he even fell, hell
He comin' home on '07 and 12 cells
'Cause you must have known, I can't trust the phones
For the dough you'll be like Doe, stuck at home
[Chorus: Jaheim]
Now Lord you know, just how hard I try
To live my life and get it right
Trying to see some light or even better
Way over way a new day, someday
Yesterday was filled with sorrow but tomorrow
It gets better I know, tell you, I know

[Verse 3: Cam'ron]
Nowadays dog, they raid up in the ballparks
Blaze 'em when they cross sharks
We raiders of the lost ark
I'm like a ballplayer, shake up and cross narcs
They get mad when I lay up in the Porsche Box
More props, R.I.P. my poor pops
Can't see his son shine like the Four Tops
My antennas will block the scanners
I got blammers, you'll drop your hammers
Lawyers to watch lawyers, cameras to watch cameras
Niggas to watch bitches, Nana to watch Grandma
In pajamas I snuck out to watch Santa
Now look at Killa, you gon' watch Santana

[Chorus: Jaheim]
Now Lord you know, just how hard I try
To live my life and get it right
Trying to see some light or even better
Way over way a new day, someday
Yesterday was filled with sorrow but tomorrow
It gets better I know, tell you, I know
[Verse 4: Juelz Santana]
Now I was born by the river in a little tent
Little gate, little fence - I climbed over
Little scrapes, little dents - I got over
That was just the beginning it's not over
It's been a long time comin' Cam
It's been a long time riding and a long time running, man
Shit done changed since The Wop and The Running Man
Since Nino, Gee Money, The Carter, and the Duh-Duh Man
It's no longer a New Jack City
It's ""cop fast and move that quickly"" or cops crash
Spent a long time coming up this road
And I ain't talking rap, man, I'm coming up this road
I'm talking crack, man and coming up with O's
I'm coming up with halves and coming up with wholes
Shit got hectic had to come up with my hoes
They would boof it and go, I receive it move it and roll
I was comin' from the Q, Zeek was comin' from the O
Jim chose to give his work to smash in dough
We was all on the paper-run
Yeah, waiting for a change to come
Now look: the change has come
The 7-Pick Up, Yukon, the Range is come
The day has come, Dipset remains the ones
Most hated by you other motherfuckers
In this game, we remain, it's a shame cuz",11,https://images.genius.com/171f8ff626ca00d3540636074186752c.350x350x1.jpg
Think Yall Know,rap,Fabolous,2003,2530,{},"[Verse 1]
You ain't never seen a nigga this large
Motherfuck the house, the nigga's garage is as big as the projs
I move from city to city like a nigga at large
Smooth as Billy D, but it's Jigga's da bars
Like you really gon' get me
You look hard, but on the inside you softer than a silicon titty
The chilla's wrong with me
You can look at the kid and see just how them Chinchillas gonna fit me
I strut through like I conceal a chrome with me
Pockets bulgin like I got some millions with me
Any bitch that chill or jones with me
End up butt ass naked inside a Villa home with me
I got a ziplock the killer grown with me
A hit of this Bobby 'll let me feel up on Whitney
Justin will cry rivers like he feel I boned Britney
I really don't get me, I really won't get me
YEAH!

[Hook]
I think y'all know by now that I ain't nothin' to be fucked with
I think y'all know by now that I don't care 'bout who you fuck with
I think hoes know by now that I'm that nigga they should bump with
I think y'all know by now it's F-A-B-O-L-O-U-S
[Verse 2]
I'm often asked, HEY, ain't you that guy
There's no one else from head to ankle that fly
Who put slugs point blank through that guy
And there's nothin' that these dudes ain't do that I, can't do at my
Earliest convenience, your girlie ain't been seen since
The feature with Lil' Mo, over 2 million people, I've reached with my little flow
They said sounded like the kid's speech was a little slow (uh huh, uh huh)
Personally I think they was reachin' a little though
But now they callin' just to get a feature so it'll blow
I'm teachin' my little bro
To stay on the grind and away from the leeches and little hoes
I use the Black Star Power on broads
Even devil worshippers gotta bow to the God
I know all you cowards, it's hard
Your career's dead so I send flowers and cards
Without regards, nigga

[Hook]
I think y'all know by now that I ain't nothin' to be fucked with
I think y'all know by now that I don't care 'bout who you fuck with
I think hoes know by now that I'm that nigga they should bump with
I think y'all know by now it's F-A-B-O-L-O-U-S

[Outro]
Uh, uh, nigga
I think they know by now
Who the fuck I be
Uh, yeah, but um
I'm with that S-T-R-E-E-T-F-A-M-I-L-Y
Uh, for all you non-spelling motherfuckers, Street Family
Yeah, uh, Brooklyn
Uh, Fuck up, word to Brooklyn
Ha Ha!",13,https://images.genius.com/e17502ac509769337d928cf2e3d684cc.1000x1000x1.jpg
Its Like That,rap,JAY-Z,1998,37692,"{""Kid Capri""}","[Intro: Jay-Z, Kid Capri & Both]
Yeah, uh-huh, watch this y'all
Uhh, watch this y'all
C'mon, Jigga, watch this y'all
C'mon, Roc-A-Fella y'all..
Huh! Watch this y'all
It's  Kid Capri and Jay-Z, come on!
It's Jay-Z and Kid Capri, don't stop, huh-huh!
'Cause I'm like that y'all, yeah
I'm really like that

[Verse 1: Jay-Z]
As a young'un, dumb and gun in the waist
Sold crack to those who couldn't take the pain
And had to numb it with base
Couldn't drink the Henny straight, I needed somethin to chase
Nowadays I throw shots back, leavin' nothin' to waste
Life's like a treadmill, niggas runnin' in place
Gettin' nowhere fast, a whole year done past
I vowed to never stop winnin', 'til the earth stop spinnin'
Rock hot linen, cop hot cars and hot women
If it's not him then you got it confused, y'all not rememberin'
My motto is, simply ""I will not lose!""
Abide by the block rules, I buy my Glocks used
With bodies on it, let me know anybody want it?
I'm raised, irrational, ways misunderstood
If you ain't live like I live, then one with the hood
I done what I could, to come up with this paper 'til this day still
Run with the hood, guess it's part of my nature
If hell awaits a, nigga I'm comin' with the razors
Still flashin' ya shit, try to pass me in a six
Type classy on the wrist, every bit of 30 karats
This is, not a game this is not why I came
May these words find a spot on your brain and burn
Then I recycle my life, I shall return
[Chorus: Liz Leite (Jay-Z)]
How tight is your flow? ('Cause I'm like that yo)
How right is your dough?  ('Cause I'm like that yo)
How white is your blow?  ('Cause I'm like that yo)
Only, write what you know  ('Cause I'm like that)
How tight is your flow? (Just like that yo)
How right is your dough? (Just like that, huh)
How white is your blow? (Uh huh, 'cause I'm like that)
Only, write what you know (Watch this, yeah, watch this yo)

[Verse 2: Jay-Z]
I'm a hop skip and a jump from grippin' the pump
Spittin' a couple of curse words, and hittin' you chump
Shit, I get digits in lumps
I'm a motherfuckin' problem, is this what you want?
Overachiever, I love chicks that puff cheeba in reefer paper
I hate the ones that blow up ya beeper
'Cause I, go in deeper, I only bone divas
Impregnate the world when I come through your speakers (ha ha!)
Fuck hot, my records got the fever
Niggas kick dirt, get ya whole block sweeped up
I creep up when the beef heats up
Caught him with his feet up and shoes off, 'bout to snooze off
Hatin', 'cause you can't turn the booze off
You dudes is too soft, why I don't fuck with you all
I might bark at X, or spit at The LOX
But, other than that, I don't be fuckin' with cats
Just me, Ty and B-High, thug it like that
E, Dame and Biggs, what's fuckin' with that?
Y'all can never diss Jigga, get nothin' for that
Other than a couple of slugs in ya back (ha ha)
Rappers y'all, runnin' around like I won't gun ya down
Last nigga that fronted, two shots spun him around
Lord, accept this offerin' here's somethin' for your crown (please)
I meant no malice, I just met his challenge and won
[Chorus: Liz Leite (Jay-Z)]
How tight is your flow? ('Cause I'm like that yo)
How right is your dough? (Just like that yo)
How white is your blow? ('Cause I'm like that yo)
Only, write what you know (I'm just like that yo)
How tight is your flow? ('Cause I'm like that yo)
How right is your dough? ('Cause I'm like that yo)
How white is your blow? ('Cause I'm like that yo)
Only, write what you know (Just like that yo)
How tight is your flow?
How right is your dough?
How white is your blow?
Only, write what you know
How tight is your flow?
How right is your dough?
How white is your blow?
Only, write what you know

[Ad-libs throughout Chorus: Kid Capri & Jay-Z]
Put your hands up, put your hands in the air
Put your hands up, get 'em up come on!
Put your hands up, get your hands in the air
Put your hands up, get 'em up, everybody put 'em up come on!
Get 'em up come on!
You know what I'm sayin'
I'm built like that, you heard?
I'm whole another level, we can put it on, you know
Jigga, Kid Capri yo
Soundtrack to the streets, nigga, huh
'Cause I'm like that y'all, ya heard?
Holla back, bounce with me, bounce
[Outro: Jay-Z]
Girls and guns (uh huh), all I want (bounce)
(Bounce with me, come on, bounce)
Stock exchange (uh huh), rocks and thangs (bounce, Jigga, haha)
Girls and guns (Kid Capri shit, huh), all I want
(What's fuckin' with that?)
Stock exchange (like that yo), rocks and thangs
(I'm just like that yo)",123,No image found
